"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.388674974E-1,-4.481358528E-1,4.973978996E-1,6.837503894E-1
4.825677000E-3,1.757357121E-1,-4.356160164E-1,4.850807190E-1,6.752389637E-1
9.650573000E-3,1.676445007E-1,-4.399008751E-1,4.702057838E-1,6.653652664E-1
1.447630200E-2,1.756253242E-1,-3.965935707E-1,5.184564590E-1,6.759643591E-1
1.930276100E-2,1.850363016E-1,-3.510828018E-1,5.813884735E-1,7.039247998E-1
2.412843800E-2,2.050206661E-1,-3.854322433E-1,6.700305939E-1,7.997077494E-1
2.895333400E-2,1.670180559E-1,-3.979377747E-1,7.150831223E-1,8.352205548E-1
3.377901100E-2,1.512573957E-1,-4.356870651E-1,6.866626740E-1,8.271684510E-1
3.860546900E-2,9.241330624E-2,-4.587006569E-1,6.747684479E-1,8.211327360E-1
4.343119800E-2,1.469993591E-2,-4.838275909E-1,6.027946472E-1,7.730890069E-1
4.825609400E-2,-3.582918644E-2,-4.993882179E-1,5.025072098E-1,7.093559182E-1
5.308177100E-2,-1.949799061E-2,-4.850497246E-1,5.474195480E-1,7.316567286E-1
5.790822900E-2,1.162545681E-1,-4.629302025E-1,6.286506653E-1,7.893168920E-1
6.273390600E-2,1.941009760E-1,-5.052461624E-1,8.400573730E-1,9.993224022E-1
6.755880200E-2,2.161020041E-1,-5.689043999E-1,1.083221436E0,1.242465682E0
7.238447900E-2,2.533642054E-1,-6.124691963E-1,1.112435341E0,1.294922517E0
7.721099000E-2,2.772593498E-1,-6.603269577E-1,1.078357697E0,1.294511398E0
8.203666700E-2,1.815741062E-1,-7.126207352E-1,1.054849625E0,1.285886931E0
8.686156300E-2,1.939499378E-2,-7.717289925E-1,1.053325653E0,1.305923709E0
9.168724000E-2,-8.824825287E-2,-8.331704140E-1,1.131526947E0,1.407946705E0
9.651369800E-2,-1.375001669E-1,-8.950133324E-1,1.115424156E0,1.436706723E0
1.013394270E-1,-1.249759197E-1,-8.922593594E-1,9.377593994E-1,1.300437786E0
1.061643230E-1,-6.876385212E-2,-8.054418564E-1,6.513223648E-1,1.038116503E0
1.109900000E-1,6.698775291E-2,-6.782145500E-1,3.888654709E-1,7.846519543E-1
1.158164590E-1,2.217646837E-1,-5.646362305E-1,2.658624649E-1,6.623265795E-1
1.206421360E-1,3.447823524E-1,-4.493618011E-1,2.271060944E-1,6.102278894E-1
1.254670310E-1,4.317532778E-1,-3.965249062E-1,2.352113724E-1,6.316385705E-1
1.302927090E-1,5.906082392E-1,-4.221792221E-1,3.496503830E-1,8.057969832E-1
1.351192190E-1,7.367528677E-1,-5.237150192E-1,5.140914917E-1,1.039890509E0
1.399448960E-1,9.204329252E-1,-6.521773338E-1,6.057262421E-1,1.280404750E0
