"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.689106941E0,5.050046444E-1,1.298704147E-1,1.767760808E0
4.824844000E-3,-1.547997475E0,5.393218994E-1,3.123035431E-1,1.668741381E0
9.650521000E-3,-1.485668659E0,5.525608063E-1,4.474172592E-1,1.647032791E0
1.447697900E-2,-1.451282263E0,5.144059658E-1,5.974025726E-1,1.651582132E0
1.930265600E-2,-1.355363131E0,4.003598690E-1,7.957201004E-1,1.621871671E0
2.412750000E-2,-1.161285400E0,2.407195568E-1,9.917650223E-1,1.546003734E0
2.895317700E-2,-1.084257603E0,3.699779510E-2,1.100092888E0,1.545052668E0
3.377963500E-2,-1.302953720E0,-2.365951538E-1,1.099798203E0,1.721401101E0
3.860531200E-2,-1.672423601E0,-4.582543373E-1,1.233409882E0,2.127979717E0
4.343020800E-2,-2.013538599E0,-6.395891905E-1,1.349863052E0,2.507098379E0
4.825588500E-2,-2.150917530E0,-7.622160912E-1,1.453323364E0,2.705470087E0
5.308229200E-2,-2.126587868E0,-7.944027185E-1,1.529297829E0,2.737188975E0
5.790796900E-2,-1.994780302E0,-7.333537340E-1,1.538757324E0,2.623876951E0
6.273286400E-2,-1.953952551E0,-6.035369635E-1,1.312442780E0,2.429957507E0
6.755854200E-2,-1.958951712E0,-4.167013168E-1,1.019680023E0,2.247416104E0
7.238500000E-2,-1.892610073E0,-2.652202845E-1,7.897014618E-1,2.067835363E0
7.721067700E-2,-1.700661659E0,-3.640528917E-1,6.014451981E-1,1.840250231E0
8.203552100E-2,-1.281132221E0,-1.580715179E-1,3.980541229E-2,1.291460740E0
8.686119800E-2,-6.713786125E-1,2.484254837E-1,-3.357172012E-1,7.906772423E-1
9.168765600E-2,-3.687725067E-1,5.146538019E-1,-3.304195404E-1,7.141699869E-1
