"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.399979115E-1,-1.466765404E-1,6.028928757E-1,7.606523444E-1
4.824896000E-3,-2.883430719E-1,-1.003403664E-1,5.507268906E-1,6.296904194E-1
9.650521000E-3,-2.329641581E-1,-8.381366730E-2,6.030468941E-1,6.518915448E-1
1.447692700E-2,-2.455281019E-1,-1.157817841E-1,6.115937233E-1,6.691310430E-1
1.930255200E-2,-2.975406647E-1,-1.301589012E-1,5.760827065E-1,6.613191902E-1
2.412744800E-2,-3.903809786E-1,-1.918840408E-1,4.435548782E-1,6.212549586E-1
2.895307300E-2,-4.525924921E-1,-2.625446320E-1,4.666562080E-1,7.010974712E-1
3.377948000E-2,-5.118693113E-1,-3.217601776E-1,5.104084015E-1,7.912373475E-1
3.860510500E-2,-5.784597397E-1,-3.980302811E-1,5.006170273E-1,8.623579205E-1
4.343000000E-2,-5.977885723E-1,-4.245495796E-1,4.600028992E-1,8.655611994E-1
4.825562500E-2,-5.444971323E-1,-4.077572823E-1,3.778228760E-1,7.781344703E-1
5.308203200E-2,-4.118090868E-1,-3.490414619E-1,2.736454010E-1,6.052259674E-1
5.790765700E-2,-2.408494949E-1,-2.632346153E-1,3.856058121E-1,5.253501539E-1
6.273255200E-2,-1.469590664E-1,-2.154841423E-1,7.065768242E-1,7.531807162E-1
6.755817700E-2,-1.051344872E-1,-1.882357597E-1,1.001546383E0,1.024490663E0
7.238458400E-2,-1.084730625E-1,-2.367444038E-1,1.142555714E0,1.171856594E0
7.721020900E-2,-1.116847992E-1,-3.522706032E-1,1.127934933E0,1.186931036E0
8.203510500E-2,-1.646094322E-1,-5.102372169E-1,1.089989662E0,1.214708091E0
8.686073000E-2,-1.670154333E-1,-6.824526787E-1,1.210653782E0,1.399756548E0
9.168713600E-2,-1.532309055E-1,-7.390785217E-1,1.534604073E0,1.710183157E0
9.651281300E-2,-1.157314777E-1,-6.349992752E-1,1.863977432E0,1.972569320E0
1.013376570E-1,-5.323433876E-2,-4.419693947E-1,1.989898682E0,2.039084992E0
1.061632820E-1,-1.471543312E-2,-2.648649216E-1,1.859852791E0,1.878675697E0
1.109896880E-1,3.553807735E-2,-2.034602165E-1,1.587579727E0,1.600958589E0
1.158153650E-1,9.325551987E-2,-2.449789047E-1,1.330200195E0,1.355781625E0
1.206402090E-1,9.569299221E-2,-3.654365540E-1,1.163910866E0,1.223678686E0
1.254658340E-1,1.279400587E-1,-4.669346809E-1,1.072031021E0,1.176285325E0
1.302922920E-1,1.608178616E-1,-5.636115074E-1,9.588098526E-1,1.123760050E0
1.351179170E-1,1.985149384E-1,-6.785702705E-1,9.060726166E-1,1.149275154E0
1.399427610E-1,2.357851267E-1,-7.548213005E-1,9.985961914E-1,1.273791260E0
1.447683860E-1,3.437908888E-1,-7.925720215E-1,1.015272141E0,1.333094184E0
1.495948440E-1,4.681800604E-1,-9.791531563E-1,8.776969910E-1,1.395809973E0
1.544204690E-1,7.066538334E-1,-1.261395454E0,5.459785461E-1,1.545500147E0
1.592453130E-1,1.025171399E0,-1.618508816E0,8.504486084E-2,1.917753846E0
1.640709380E-1,1.253688455E0,-2.032112837E0,-1.371026039E-1,2.391655169E0
1.688973960E-1,1.365213871E0,-2.168909788E0,-2.161026001E-3,2.562807689E0
1.737230210E-1,1.410160303E0,-2.079393148E0,3.193264008E-1,2.532666045E0
1.785478650E-1,1.316315055E0,-1.881762505E0,5.998458862E-1,2.373505958E0
1.833735420E-1,1.194491267E0,-1.593733549E0,8.368768692E-1,2.160360828E0
1.881999480E-1,1.026717424E0,-1.277345419E0,9.621391296E-1,1.900387248E0
1.930255730E-1,8.002325296E-1,-8.682794571E-1,9.904165268E-1,1.541170404E0
1.978504170E-1,5.261644125E-1,-4.718227386E-1,7.945585251E-1,1.063385601E0
2.026760940E-1,2.204096317E-1,-8.207798004E-2,6.111221313E-1,6.548186466E-1
2.075025000E-1,-1.128354073E-1,3.796815872E-2,4.887123108E-1,5.030041083E-1
2.123281250E-1,-2.695481777E-1,-1.909780502E-2,-1.829352379E-1,3.263223062E-1
2.171530210E-1,-3.453228474E-1,-2.561707497E-1,-1.016771317E0,1.103945303E0
2.219786460E-1,-4.110059738E-1,-4.108581543E-1,-1.634717464E0,1.734944242E0
2.268050520E-1,-4.097082615E-1,-5.181989670E-1,-2.036332130E0,2.140803488E0
2.316307300E-1,-3.051285744E-1,-6.277165413E-1,-2.184832573E0,2.293605213E0
2.364555730E-1,-1.452746391E-1,-6.612348557E-1,-1.970346928E0,2.083411450E0
2.412811980E-1,7.771968842E-2,-5.771331787E-1,-1.463393211E0,1.575005634E0
2.461076050E-1,2.958593369E-1,-4.499449730E-1,-5.588860512E-1,7.761036298E-1
2.509332820E-1,5.037987232E-1,-2.159276009E-1,5.833911896E-1,8.004893269E-1
2.557581250E-1,6.338646412E-1,6.025409698E-2,1.655587196E0,1.773804923E0
2.605837500E-1,6.653378010E-1,3.083000183E-1,2.197778702E0,2.316884657E0
2.654102090E-1,6.436157227E-1,4.399609566E-1,2.397348404E0,2.520929632E0
2.702358340E-1,4.941287041E-1,6.046247482E-1,2.390995979E0,2.515272557E0
2.750606770E-1,3.267867565E-1,7.873597145E-1,2.386064529E0,2.533777584E0
2.798863020E-1,1.650621891E-1,9.929785728E-1,2.186120033E0,2.406734878E0
2.847127610E-1,-7.163095474E-2,1.222212315E0,1.887548447E0,2.249838455E0
2.895383860E-1,-2.617990971E-1,1.494931698E0,1.571243286E0,2.184528556E0
2.943632300E-1,-4.023292065E-1,1.710387230E0,1.118991852E0,2.083131304E0
2.991889070E-1,-4.905703068E-1,1.782858372E0,6.386318207E-1,1.956295939E0
3.040153130E-1,-4.556272030E-1,1.724208355E0,1.870641708E-1,1.793176958E0
3.088409380E-1,-3.459966183E-1,1.576934338E0,-1.702318192E-1,1.623395958E0
3.136658340E-1,-2.951269150E-1,1.399519920E0,-4.491100311E-1,1.499151668E0
3.184914590E-1,-2.574393749E-1,1.152708054E0,-9.489455223E-1,1.515093559E0
3.233178650E-1,-1.735849380E-1,8.084812164E-1,-1.989598751E0,2.154594347E0
3.281435420E-1,-1.046555042E-1,6.350884438E-1,-2.965233803E0,3.034287661E0
3.329683860E-1,-1.839566231E-1,8.937520981E-1,-2.481483936E0,2.643935585E0
3.377940110E-1,-2.290446758E-1,1.145473957E0,-1.670508862E0,2.038423878E0
3.426204690E-1,-1.391599178E-1,1.282168388E0,-1.019960880E0,1.644275359E0
3.474460940E-1,5.285429955E-2,1.256290913E0,-5.941667557E-1,1.390717285E0
3.522709380E-1,1.561133862E-1,1.292040348E0,-3.388843536E-1,1.344835401E0
3.570966150E-1,1.649951935E-1,1.273781300E0,-3.828010559E-1,1.340253283E0
3.619230210E-1,1.735861301E-1,9.579610825E-1,-7.232036591E-1,1.212784034E0
3.667486460E-1,2.098228931E-1,5.749249458E-1,-8.820900917E-1,1.073614116E0
3.715735420E-1,2.386617661E-1,-3.137826920E-2,-9.661388397E-1,9.956747923E-1
3.763991670E-1,2.161805630E-1,-5.937638283E-1,-9.315652847E-1,1.125656875E0
3.812255730E-1,6.865429878E-2,-8.270599842E-1,-8.055238724E-1,1.156551053E0
3.860511980E-1,-6.803846359E-2,-1.027734280E0,-7.611665726E-1,1.280719147E0
3.908760940E-1,-1.732337475E-1,-9.813871384E-1,-7.879123688E-1,1.270408024E0
3.957017190E-1,-1.650028229E-1,-6.461400986E-1,-5.082030296E-1,8.384469440E-1
4.005281250E-1,-1.051306725E-2,-4.245338440E-1,-4.710388184E-2,4.272683992E-1
4.053538020E-1,3.739500046E-1,-1.744837761E-1,-3.395352364E-1,5.343850398E-1
4.101786460E-1,7.228579521E-1,1.361794472E-1,-4.556760788E-1,8.652798100E-1
4.150042710E-1,9.033370018E-1,4.064288139E-1,-3.746004105E-1,1.059021996E0
4.198307300E-1,1.081677437E0,7.342939377E-1,-3.634657860E-1,1.356952852E0
4.246563550E-1,1.177928686E0,9.724264145E-1,-4.189963341E-1,1.583883534E0
4.294812500E-1,1.110355616E0,1.002759457E0,-4.523558617E-1,1.563023335E0
4.343068750E-1,7.124228477E-1,8.005123138E-1,-5.438375473E-1,1.201717752E0
4.391332820E-1,1.218960285E-1,3.245334625E-1,-7.093195915E-1,7.895029405E-1
4.439589070E-1,-4.853255749E-1,-2.737703323E-1,-1.014785290E0,1.157704752E0
4.487838020E-1,-9.919533730E-1,-8.703188896E-1,-1.433237553E0,1.948229028E0
4.536094270E-1,-1.302974701E0,-1.298959494E0,-1.862238407E0,2.617817931E0
4.584358860E-1,-1.406282902E0,-1.486700535E0,-2.050830364E0,2.897208184E0
4.632615110E-1,-1.368837595E0,-1.498970985E0,-1.967726707E0,2.827114920E0
4.680863550E-1,-1.281989336E0,-1.368024111E0,-1.974985123E0,2.723151274E0
4.729120320E-1,-1.132249355E0,-1.215335608E0,-2.004906654E0,2.603589817E0
4.777384380E-1,-9.753799438E-1,-1.231975555E0,-2.062037945E0,2.592514280E0
