"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.247699976E0,2.549899817E0,9.783999920E-1,3.002667289E0
1.038593800E-2,-1.247699976E0,2.549899817E0,9.783999920E-1,3.002667289E0
1.999843800E-2,-1.247699976E0,2.549899817E0,9.783999920E-1,3.002667289E0
3.045312500E-2,-1.247699976E0,2.549899817E0,9.783999920E-1,3.002667289E0
4.043281300E-2,2.202999890E-1,2.057999969E-1,1.598999947E-1,3.412531790E-1
5.058125000E-2,3.377999961E-1,2.358999997E-1,2.965999842E-1,5.076703634E-1
6.057968800E-2,5.719000101E-1,1.518999934E-1,6.164000034E-1,8.544543252E-1
7.057968800E-2,3.937000036E-1,-5.200000014E-3,5.771999955E-1,6.987034905E-1
8.043281300E-2,1.510999948E-1,-4.496999979E-1,-1.547999978E-1,4.990233821E-1
9.043125000E-2,6.154999733E-1,-1.209399939E0,-7.631999850E-1,1.556908040E0
1.004312500E-1,1.517199993E0,-1.139299989E0,-6.588999629E-1,2.008494323E0
1.104312500E-1,1.652499914E0,-3.662000000E-1,7.750000060E-2,1.694362611E0
1.204328130E-1,-1.031999961E-1,5.153999925E-1,7.545999885E-1,9.196241265E-1
1.304328130E-1,-2.368099928E0,9.449999928E-1,5.378999710E-1,2.605812471E0
1.404328130E-1,-3.529799938E0,1.012599945E0,-4.950999916E-1,3.705397449E0
1.504328130E-1,-2.833699942E0,1.292400002E0,-9.726999998E-1,3.262866595E0
1.604328130E-1,-7.069999576E-1,6.850999594E-1,-1.458999962E-1,9.952375110E-1
1.704328130E-1,5.257999897E-1,4.030000046E-2,-3.218999803E-1,6.178262835E-1
1.804328130E-1,7.682999969E-1,-5.085999966E-1,-1.240499973E0,1.545250473E0
1.904328130E-1,1.794799924E0,2.329999954E-1,-1.499899983E0,2.350594760E0
2.004328130E-1,2.293299913E0,5.159999728E-1,-1.103699923E0,2.596850782E0
2.104328130E-1,1.001500010E0,-1.574999988E-1,-5.410000086E-1,1.149125550E0
2.205031250E-1,-6.899999976E-1,-6.110999584E-1,2.205999941E-1,9.477381037E-1
2.304656250E-1,-2.023799896E0,-1.610799909E0,-1.047899961E0,2.790794993E0
