"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-8.452999592E-1,4.789999872E-2,5.009999871E-2,8.481370413E-1
9.996875000E-3,-1.024999991E-1,-1.643999964E-1,-1.221999973E-1,2.290555565E-1
1.999531300E-2,-3.404999971E-1,1.607999951E-1,-3.605999947E-1,5.213724605E-1
2.999375000E-2,-5.345999599E-1,-3.070000000E-2,-3.655999899E-1,6.483848855E-1
3.999375000E-2,-9.785999656E-1,1.525999904E-1,-6.365000010E-1,1.177317672E0
4.999531300E-2,-1.369199991E0,3.155999780E-1,-1.665899992E0,2.179342732E0
5.999843800E-2,-1.212599993E0,3.143000007E-1,-1.713199973E0,2.122318869E0
6.999531300E-2,-9.812999964E-1,2.703999877E-1,-1.305400014E0,1.655335323E0
7.999531300E-2,-1.469999999E-1,-1.411999911E-1,-4.588999748E-1,5.021310828E-1
8.999375000E-2,1.391399980E0,-4.533999860E-1,4.068999887E-1,1.518924966E0
9.999531300E-2,2.300699949E0,-4.912000000E-1,5.662999749E-1,2.419750681E0
1.099968750E-1,2.715399981E0,-5.336999893E-1,5.906000137E-1,2.829671555E0
1.199953130E-1,2.332799911E0,-3.734999895E-1,5.952000022E-1,2.436333457E0
1.299937500E-1,2.357999980E-1,6.757999659E-1,3.246999979E-1,7.859626719E-1
1.399921880E-1,-1.683099985E0,1.740000010E0,-4.444999993E-1,2.461301656E0
1.499953130E-1,-1.751199961E0,1.446299911E0,-1.241999939E-1,2.274623127E0
1.599968750E-1,-7.486000061E-1,1.026000008E-1,-3.925999999E-1,8.515065996E-1
1.699953130E-1,9.579999745E-2,-6.732999682E-1,-9.332000017E-1,1.154717597E0
1.799953130E-1,8.812999725E-1,-6.434999704E-1,-1.088099957E0,1.541020236E0
1.899921880E-1,8.562999964E-1,-6.037999988E-1,-3.870999813E-1,1.116991727E0
1.999921880E-1,5.403999686E-1,-6.218000054E-1,6.994999647E-1,1.080725485E0
2.099953130E-1,6.420999765E-1,-8.643999696E-1,1.389199972E0,1.757656465E0
2.199937500E-1,1.317699909E0,-1.016899943E0,1.211300015E0,2.058559271E0
2.299953130E-1,1.319700003E0,-8.719999790E-1,5.472999811E-1,1.673776965E0
2.399937500E-1,-5.239999890E-1,-1.299000025E0,-1.453000009E-1,1.408221979E0
2.499937500E-1,7.149999589E-2,-3.710899830E0,-2.976999879E-1,3.723508437E0
2.599953130E-1,9.238999486E-1,-5.353399754E0,8.551999927E-1,5.499440614E0
2.699921880E-1,5.471000075E-1,-2.933499813E0,1.921999931E0,3.549482118E0
2.799937500E-1,4.791999757E-1,-9.364999533E-1,6.140000001E-2,1.053771673E0
2.899921880E-1,1.001999974E0,-1.125199914E0,-1.670199990E0,2.249365867E0
2.999921880E-1,1.008299947E0,-1.638399959E0,-2.011699915E0,2.783515718E0
3.099953130E-1,9.611999989E-1,-1.534099936E0,-1.916499972E0,2.636349787E0
3.199937500E-1,1.064499974E0,-1.620399952E0,-2.541199923E0,3.196334345E0
3.299921880E-1,1.117699981E0,-1.516499996E0,-1.861499906E0,2.648434893E0
3.399937500E-1,7.978000045E-1,-6.710000038E-1,-1.942999959E-1,1.060414231E0
3.499953130E-1,2.813999951E-1,-6.161000133E-1,1.178300023E0,1.359101221E0
3.599953130E-1,-8.689999580E-2,-1.220399976E0,2.479899883E0,2.765290426E0
3.700359380E-1,-3.084999919E-1,-1.143100023E0,2.231699944E0,2.526328274E0
3.799953130E-1,9.872999787E-1,-1.876099944E0,1.574299932E0,2.640631084E0
3.899921880E-1,1.778399944E0,-1.716899991E0,7.178999782E-1,2.574069214E0
3.999937500E-1,2.176199913E0,-1.411899924E0,-1.022999957E-1,2.596107229E0
4.099984380E-1,1.292699933E0,-1.641999930E-1,-1.582199931E0,2.049729586E0
4.199953130E-1,-4.299999680E-3,2.525999844E-1,-1.571599960E0,1.591776265E0
4.299937500E-1,-8.180999756E-1,-8.209999651E-2,5.909999833E-2,8.243305097E-1
4.399937500E-1,-9.078999758E-1,-1.367999911E-1,5.572999716E-1,1.074048352E0
4.499937500E-1,-7.536999583E-1,-2.818000019E-1,6.627999544E-1,1.042486761E0
4.600437500E-1,-8.089999557E-1,-4.334999919E-1,-5.921999812E-1,1.092292996E0
4.699937500E-1,-9.799999744E-2,-1.544099927E0,-1.438999921E-1,1.553884099E0
4.799953130E-1,1.264699936E0,-2.643100023E0,1.668999910E0,3.372091986E0
4.899921880E-1,7.558699608E0,-4.708099842E0,7.316999912E0,1.152556426E1
4.999953130E-1,5.298899651E0,-1.749699950E0,6.229199886E0,8.363176349E0
5.100390630E-1,8.112999797E-1,8.445000052E-1,4.924999774E-1,1.270411014E0
5.199937500E-1,1.724999994E-1,2.782999873E-1,-7.098799706E0,7.106346768E0
5.299937500E-1,-2.304999977E-1,-4.958999753E-1,-9.334699631E0,9.350703943E0
5.400375000E-1,-9.029999971E-1,-1.170400023E0,-6.777999878E0,6.937328560E0
5.499921880E-1,-1.800899982E0,-9.010999799E-1,-3.857899904E0,4.351851743E0
5.600015630E-1,-3.481199980E0,-2.303999960E-1,-1.052000001E-1,3.490401767E0
5.699937500E-1,-4.676300049E0,2.805999815E-1,3.530599833E0,5.866144703E0
5.800343750E-1,-2.207200050E0,-1.335999966E0,5.459699631E0,6.038621368E0
5.899921880E-1,-1.316100001E0,-1.121399999E0,2.396600008E0,2.955223979E0
5.999937500E-1,-2.712999821E0,-8.114999533E-1,-7.371000051E-1,2.926126556E0
6.099968750E-1,-4.514299870E0,-1.270900011E0,-2.050499916E0,5.118460712E0
6.199968750E-1,-4.946599960E0,-1.195699930E0,-1.295699954E0,5.251417700E0
6.299937500E-1,-3.136499882E0,-7.000000030E-2,1.176999956E-1,3.139487983E0
6.399937500E-1,-3.792099953E0,1.134899974E0,1.370100021E0,4.188698374E0
6.499937500E-1,-4.810699940E0,1.141799927E0,1.734599948E0,5.239787969E0
6.600015630E-1,-4.764899731E0,1.279899955E0,1.079299927E0,5.050475390E0
6.699921880E-1,-3.756899834E0,9.781999588E-1,-3.236999810E-1,3.895632580E0
6.799921880E-1,-1.414399981E0,1.582299948E0,-1.659500003E0,2.694093668E0
6.899953130E-1,1.824299932E0,3.283299923E0,-2.273499966E0,4.390550161E0
6.999937500E-1,4.103300095E0,5.300399780E0,-1.640699983E0,6.900956885E0
7.099953130E-1,4.317599773E0,6.258299828E0,-8.833000064E-1,7.654293138E0
7.199953130E-1,3.710299969E0,5.125799656E0,-1.176999956E-1,6.328823055E0
7.299937500E-1,2.744199991E0,2.734799862E0,3.242999911E-1,3.887792994E0
7.399953130E-1,-1.064499974E0,7.268999815E-1,1.354300022E0,1.869671717E0
7.499921880E-1,-2.660799980E0,-5.235999823E-1,1.895199895E0,3.308443156E0
7.599968750E-1,-2.073099852E0,-2.359999903E-2,5.353999734E-1,2.141250356E0
7.699921880E-1,-6.693999767E-1,9.061999917E-1,-2.660000026E-1,1.157605613E0
7.799953130E-1,2.769999802E-1,1.418299913E0,-1.142400026E0,1.842113312E0
7.899953130E-1,8.287000060E-1,1.629400015E0,-2.461799860E0,3.066292005E0
7.999937500E-1,6.875999570E-1,7.705999613E-1,-1.958799958E0,2.214388240E0
8.099953130E-1,5.178999901E-1,-1.305999905E-1,-9.366999865E-1,1.078278082E0
8.199953130E-1,-4.699999932E-3,-3.616999984E-1,-1.098500013E0,1.156525511E0
8.299921880E-1,-3.805999756E-1,-2.673999965E-1,-4.687999785E-1,6.604033006E-1
8.399953130E-1,-4.064999819E-1,-2.026000023E-1,6.717999578E-1,8.109279743E-1
