"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.936999798E-1,-2.101999968E-1,-9.589999914E-2,3.736850634E-1
9.992188000E-3,-1.155399919E0,9.469999671E-1,-2.698999941E-1,1.518092196E0
1.999062500E-2,-1.126199961E0,1.083299994E0,1.560999900E-1,1.570424285E0
2.998906300E-2,-9.504999518E-1,9.123999476E-1,9.399999864E-3,1.317578151E0
3.999062500E-2,-5.570999980E-1,5.516999960E-1,-4.219999909E-1,8.904028783E-1
4.999375000E-2,-1.029600024E0,5.422999859E-1,-2.861999869E-1,1.198363850E0
5.999062500E-2,-1.865899920E0,8.750000000E-1,4.992999732E-1,2.120497106E0
6.999062500E-2,-1.923900008E0,1.081699967E0,7.678999901E-1,2.336907456E0
7.999062500E-2,-1.080899954E0,9.476999640E-1,3.152000010E-1,1.471676246E0
8.999218800E-2,-3.416999876E-1,4.047999978E-1,-1.092999950E-1,5.408959315E-1
9.999531300E-2,-3.718999922E-1,2.467999905E-1,-3.366999924E-1,5.590945577E-1
1.099906250E-1,-5.092999935E-1,1.613999903E-1,-1.582999974E-1,5.572210777E-1
1.199906250E-1,-3.951999843E-1,7.580000162E-2,1.217999980E-1,4.204329998E-1
1.299906250E-1,-4.389999807E-2,9.329999983E-2,4.050000012E-1,4.179199693E-1
1.399890630E-1,2.797999978E-1,1.116999984E-1,5.270000100E-1,6.070370161E-1
1.499953130E-1,6.599999964E-3,1.551000029E-1,6.682999730E-1,6.860935977E-1
1.599921880E-1,-4.260999858E-1,1.592999995E-1,5.692999959E-1,7.287250326E-1
1.699906250E-1,-5.999000072E-1,1.096000001E-1,2.485999912E-1,6.585545796E-1
1.799906250E-1,-4.150999784E-1,-4.580000043E-2,-1.069999952E-2,4.177560558E-1
1.899921880E-1,-9.119999409E-2,-1.171999946E-1,-1.477999985E-1,2.095187754E-1
1.999937500E-1,-1.509999949E-2,-4.959999770E-2,-1.553999931E-1,1.638210231E-1
2.099906250E-1,-5.749999732E-2,7.299999706E-3,-2.467999905E-1,2.535148418E-1
2.199906250E-1,-3.357999921E-1,-2.459999919E-2,-3.048999906E-1,4.542365011E-1
2.299921880E-1,-4.305999875E-1,-4.419999942E-2,-1.964000016E-1,4.753345662E-1
2.399921880E-1,-4.499000013E-1,-1.582999974E-1,3.680000082E-2,4.783546178E-1
2.499937500E-1,-4.806999862E-1,-2.895999849E-1,2.283999920E-1,6.058937071E-1
2.599890630E-1,-3.269000053E-1,-3.991999924E-1,2.320999950E-1,5.657690829E-1
2.699921880E-1,-2.531999946E-1,-3.792999983E-1,2.339999974E-1,5.125765550E-1
2.799906250E-1,-1.920000017E-1,-3.276000023E-1,2.257999927E-1,4.417820717E-1
2.899906250E-1,-2.137999982E-1,-3.215000033E-1,1.305999905E-1,4.075893140E-1
2.999937500E-1,-2.902999818E-1,-3.213000000E-1,1.745999902E-1,4.668971257E-1
3.099921880E-1,-3.049999848E-2,-1.890999973E-1,1.729999930E-1,2.581047393E-1
3.199921880E-1,0.000000000E0,-5.629999936E-2,-9.640000015E-2,1.116362394E-1
3.299906250E-1,-3.712999821E-1,1.480000000E-2,-3.977999985E-1,5.443597666E-1
3.399906250E-1,-5.967999697E-1,-3.199999779E-2,-1.165999994E-1,6.089250886E-1
3.499937500E-1,-5.888000131E-1,7.819999754E-2,-1.809999906E-2,5.942459970E-1
3.599921880E-1,1.640699983E0,-1.165159988E1,-2.702499866E0,1.207291107E1
3.699906250E-1,3.105999947E0,-1.411269951E1,5.524899960E0,1.547061869E1
3.799921880E-1,-8.217999935E-1,-8.540999889E-1,3.686999798E0,3.872829654E0
3.899921880E-1,-1.701699972E0,-2.604199886E0,8.026999831E-1,3.212781833E0
3.999937500E-1,-2.646499872E0,-1.867100000E0,1.793999970E-1,3.243795361E0
4.100312500E-1,-1.430299997E0,-2.033900023E0,-1.179600000E0,2.752083492E0
4.199906250E-1,2.047899961E0,-2.531100035E0,-1.683399916E0,3.665269010E0
4.299921880E-1,2.186899900E0,-1.183200002E0,-2.749799967E0,3.707275722E0
4.399921880E-1,3.139999807E-1,-1.187799931E0,-2.602099895E0,2.877566425E0
4.500062500E-1,-1.403699994E0,-2.131999880E-1,-1.089100003E0,1.789404014E0
4.599921880E-1,-1.136999965E0,-1.354499936E0,3.454999924E-1,1.801890463E0
4.699921880E-1,-1.923799992E0,-5.079999939E-2,1.305899978E0,2.325717481E0
4.800312500E-1,-1.605099916E0,-1.450399995E0,1.672299981E0,2.734335955E0
4.899906250E-1,-3.151399851E0,-9.743999839E-1,3.754999936E-1,3.319906112E0
4.999921880E-1,-2.935299873E0,-1.916000009E0,1.457999945E-1,3.508318546E0
5.099906250E-1,-3.095000029E0,-2.093799829E0,-1.607999951E-1,3.740171058E0
5.199906250E-1,-1.783599973E0,-9.397999644E-1,4.199000001E-1,2.059312712E0
5.299906250E-1,-1.894999892E-1,7.926999927E-1,-1.210500002E0,1.459312776E0
5.399906250E-1,4.127500057E0,7.699999958E-3,8.989999443E-2,4.128486166E0
5.500343750E-1,4.081900120E0,2.888299942E0,2.924999893E-1,5.008966100E0
5.599921880E-1,3.804699898E0,2.466899872E0,-1.043499947E0,4.652980596E0
5.699906250E-1,4.153899670E0,1.211499929E0,3.373999894E-1,4.340098305E0
5.799890630E-1,3.767799854E0,1.702999920E-1,7.730999589E-1,3.850065113E0
5.899906250E-1,2.073999882E0,-8.319999576E-1,-1.131999940E-1,2.237524006E0
6.000484380E-1,-4.759999737E-2,-1.048599958E0,-3.324100018E0,3.485895661E0
6.099921880E-1,-1.722799897E0,-1.501999944E-1,-5.607999802E0,5.868582563E0
6.199906250E-1,-4.923299789E0,1.072499990E0,-4.660099983E0,6.863356970E0
6.299906250E-1,-9.897699356E0,2.754299879E0,-1.766899943E0,1.042461298E1
6.400296880E-1,-8.560299873E0,2.055500031E0,5.999999866E-2,8.803829525E0
6.499953130E-1,-5.011199951E0,3.589999914E0,-2.299999893E-1,6.168721450E0
6.599906250E-1,-3.707299948E0,8.361100197E0,7.299000025E-1,9.175228794E0
6.699906250E-1,-2.407199860E0,9.175799370E0,4.384200096E0,1.045041223E1
6.799921880E-1,-3.164399862E0,8.724599838E0,3.814999819E0,1.003425595E1
6.899906250E-1,-2.298099995E0,6.986000061E0,7.311999798E-1,7.390542189E0
7.000078130E-1,-1.125499964E0,4.870100021E0,-1.328799963E0,5.172072479E0
7.099906250E-1,5.924000144E-1,2.501299858E0,-3.433099985E0,4.288777712E0
7.199906250E-1,3.504699945E0,-6.351000071E-1,-5.117000103E0,6.234578076E0
7.299890630E-1,3.558699846E0,-2.402799845E0,-5.705800056E0,7.141004549E0
7.399890630E-1,1.959399939E0,-3.010299921E0,-2.746999979E0,4.521853892E0
7.499921880E-1,1.053599954E0,-3.033799887E0,5.612999797E-1,3.260225802E0
7.599890630E-1,3.138999939E-1,-2.305299997E0,3.084399939E0,3.863478260E0
7.699906250E-1,-3.410999775E-1,-1.531000018E0,4.246999741E0,4.527396277E0
7.799890630E-1,-1.064299941E0,-1.291100025E0,4.179999828E0,4.502451799E0
7.899890630E-1,-1.227399945E0,3.554999828E-1,1.960999966E0,2.340600720E0
7.999921880E-1,-1.061900020E0,1.610599995E0,-1.058799982E0,2.200618412E0
8.099890630E-1,-3.912999928E-1,2.018399954E0,-3.369199991E0,3.946968791E0
8.199890630E-1,4.849999771E-2,1.825500011E0,-3.984399796E0,4.382949266E0
8.299906250E-1,-5.558999777E-1,1.145799994E0,-2.942399979E0,3.206181537E0
8.399906250E-1,-1.079999924E0,3.680000082E-2,-1.493299961E0,1.843284799E0
8.499937500E-1,-1.073599935E0,-1.028599977E0,-3.545999825E-1,1.528520815E0
8.599906250E-1,-7.736999989E-1,-1.814099908E0,1.255900025E0,2.338130672E0
8.699906250E-1,-3.172000051E-1,-2.256099939E0,2.641799927E0,3.488511091E0
8.799906250E-1,5.449999869E-2,-2.095399857E0,2.628399849E0,3.361868019E0
8.899921880E-1,6.452999711E-1,-1.833999991E0,1.840899944E0,2.677476541E0
8.999937500E-1,1.009299994E0,-1.345099926E0,1.136399984E0,2.029626865E0
9.099906250E-1,1.192700028E0,-3.346000016E-1,4.750999808E-1,1.326729253E0
9.199921880E-1,9.333999753E-1,8.745999932E-1,-4.447000027E-1,1.354222565E0
9.300312500E-1,4.215899944E0,-1.655299902E0,-8.289999515E-2,4.529978202E0
