"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,6.340000033E-1,-1.298999935E-1,3.938999891E0,3.991810386E0
1.003437500E-2,6.340000033E-1,-1.298999935E-1,3.938999891E0,3.991810386E0
2.018125000E-2,6.340000033E-1,-1.298999935E-1,3.938999891E0,3.991810386E0
3.043750000E-2,6.340000033E-1,-1.298999935E-1,3.938999891E0,3.991810386E0
4.043437500E-2,-3.762999773E-1,-3.603000045E-1,-1.404999942E-1,5.395905990E-1
5.043437500E-2,-8.569999784E-2,-9.650999904E-1,1.169399977E0,1.518637148E0
6.043437500E-2,-5.181999803E-1,-3.913999796E-1,9.473999739E-1,1.148604316E0
7.043437500E-2,-6.247999668E-1,6.078000069E-1,-2.111799955E0,2.284621391E0
8.043437500E-2,-4.935999811E-1,5.837000012E-1,-1.835199952E0,1.988040618E0
9.043125000E-2,-9.455999732E-1,3.947999775E-1,-2.477999926E-1,1.054244359E0
1.004343750E-1,-1.228899956E0,4.360999763E-1,5.900999904E-1,1.431291825E0
1.104312500E-1,-6.010999680E-1,2.541999817E-1,4.853999913E-1,8.133584411E-1
1.204312500E-1,-1.929999888E-1,5.659999698E-2,2.071999907E-1,2.887635564E-1
1.304343750E-1,-1.349000037E-1,-1.873999983E-1,-5.839999765E-2,2.381749989E-1
1.404328130E-1,2.709999867E-2,-5.091999769E-1,-1.546999961E-1,5.328706365E-1
1.504312500E-1,-1.109999940E-1,-6.268000007E-1,-1.366999894E-1,6.510653781E-1
1.604343750E-1,-2.245999873E-1,-5.115000010E-1,-5.439999700E-2,5.612813599E-1
1.704312500E-1,-1.401000023E-1,-2.680000067E-1,1.249999925E-2,3.026685715E-1
1.804328130E-1,-6.599999964E-2,-1.239999980E-1,-1.379999984E-2,1.411468719E-1
1.904343750E-1,-8.639999479E-2,-1.409999933E-2,-9.869999439E-2,1.319297464E-1
2.004312500E-1,-2.999999933E-2,3.759999946E-2,-1.979999989E-2,5.201730399E-2
2.104437500E-1,-2.091999948E-1,1.191999987E-1,-1.379999984E-2,2.411715520E-1
2.204671880E-1,-3.325999975E-1,3.469999880E-2,-6.019999832E-2,3.397806470E-1
2.304703130E-1,-3.008999825E-1,-1.080999970E-1,-1.727000028E-1,3.633891850E-1
2.404765630E-1,-5.810000002E-2,-2.778999805E-1,-3.403999805E-1,4.432563095E-1
2.504703130E-1,3.299999982E-2,-3.569999933E-1,-4.459999800E-1,5.722359455E-1
2.604703130E-1,1.977999955E-1,-4.423999786E-1,-3.143999875E-1,5.776590097E-1
2.704703130E-1,2.331999987E-1,-4.372999966E-1,-1.052999943E-1,5.066572957E-1
2.804703130E-1,-3.219999745E-2,-3.843999803E-1,-5.639999732E-2,3.898475912E-1
2.904781250E-1,-1.497000009E-1,-4.596000016E-1,-1.647000015E-1,5.106548171E-1
3.004703130E-1,1.220999956E-1,-6.705999970E-1,-2.897999883E-1,7.406732061E-1
3.104687500E-1,4.711999893E-1,-7.342000008E-1,-4.910999835E-1,1.001128496E0
3.204703130E-1,-6.780000031E-2,-6.437000036E-1,-3.804000020E-1,7.507667389E-1
3.304687500E-1,-1.288999915E-1,-5.117999911E-1,-1.469999924E-2,5.279872429E-1
3.404718750E-1,1.156999990E-1,-5.317000151E-1,5.289999768E-2,5.467081539E-1
3.504671880E-1,2.479999959E-1,-1.646600008E0,-7.497000098E-1,1.826155987E0
3.604687500E-1,1.286099911E0,-2.073999882E0,-1.130999997E-1,2.443014552E0
3.704687500E-1,1.397799969E0,-3.608999848E-1,9.867999554E-1,1.748675986E0
3.804703130E-1,5.141999722E-1,1.117200017E0,1.350899935E0,1.826873866E0
3.904718750E-1,2.049999870E-2,7.028999925E-1,6.233999729E-1,9.397426113E-1
4.004687500E-1,1.715999991E-1,-2.338999957E-1,-2.973999977E-1,4.154546020E-1
4.104703130E-1,4.366999865E-1,-1.023800015E0,-9.644999504E-1,1.472797849E0
4.204687500E-1,5.442999601E-1,-1.606799960E0,-1.082899928E0,2.012645228E0
4.304687500E-1,6.435999870E-1,-2.149800062E0,-1.079100013E0,2.490043792E0
4.404718750E-1,9.197999835E-1,-2.867499828E0,-9.720000029E-1,3.164391139E0
4.504703130E-1,3.265999854E-1,-2.390599966E0,-2.996999919E-1,2.431348563E0
4.604703130E-1,1.699999906E-2,-1.884799957E0,6.796000004E-1,2.003650678E0
4.704687500E-1,2.779999934E-2,-1.380399942E0,5.422999859E-1,1.483363110E0
4.804703130E-1,8.980000019E-2,-1.566499949E0,4.685999751E-1,1.637550630E0
4.904718750E-1,-2.287999988E-1,-1.389599919E0,2.728999853E-1,1.434507503E0
5.004703130E-1,-1.828999966E-1,-1.534500003E0,-2.245000005E-1,1.561583465E0
5.104687500E-1,-3.919000030E-1,-1.411999941E0,-7.671999931E-1,1.654063262E0
5.204671880E-1,-1.750999987E-1,-9.478999972E-1,-9.427999854E-1,1.348349445E0
5.304671880E-1,6.300000101E-2,-3.831999898E-1,6.563999653E-1,7.626743386E-1
5.404718750E-1,-1.613999903E-1,1.654599905E0,1.343799949E0,2.137650370E0
5.504687500E-1,-6.980999708E-1,2.739099979E0,9.739999771E-1,2.989763907E0
5.604687500E-1,-7.111999989E-1,3.381699800E0,2.118000031E0,4.053100432E0
5.704687500E-1,-3.217999935E-1,2.670899868E0,3.232399940E0,4.205433475E0
5.804703130E-1,3.666999936E-1,1.090999961E0,5.087999701E-1,1.258422508E0
5.904718750E-1,4.669999704E-2,-3.179999813E-2,-1.656700015E0,1.657663135E0
6.004687500E-1,-2.827000022E-1,-7.294999957E-1,-2.101099968E0,2.242032696E0
6.105109380E-1,-3.700000048E-2,-1.214599967E0,-2.075700045E0,2.405234449E0
6.204703130E-1,2.433999926E-1,-1.186699986E0,-1.519699931E0,1.943447528E0
6.304687500E-1,8.608999848E-1,-9.394999743E-1,-1.571099997E0,2.022909831E0
6.404718750E-1,1.203299999E0,-5.331000090E-1,-2.106699944E0,2.484011103E0
6.505453130E-1,8.307999969E-1,9.529999644E-2,-1.495000005E0,1.712990291E0
6.604703130E-1,4.829999804E-2,8.728999496E-1,1.648999900E-1,8.896511779E-1
6.704671880E-1,-1.093999967E-1,1.167099953E0,1.428399920E0,1.847814112E0
6.804703130E-1,-1.500199914E0,1.571999907E0,1.012099981E0,2.397108647E0
6.904718750E-1,-1.780599952E0,1.706200004E0,1.109899998E0,2.704354386E0
7.004671880E-1,-1.404099941E0,1.623399973E0,9.073999524E-1,2.330300150E0
7.104687500E-1,-1.176699996E0,9.122999907E-1,4.353999794E-1,1.551285691E0
7.204687500E-1,-1.169399977E0,1.061000004E-1,1.955000013E-1,1.190367072E0
7.304671880E-1,-1.172599912E0,-2.815999985E-1,4.959999919E-1,1.303957478E0
7.404781250E-1,-1.260200024E0,-1.904999912E-1,1.815999895E-1,1.287389957E0
7.504687500E-1,-6.334999800E-1,-3.254999816E-1,-6.929999590E-1,9.937411161E-1
7.604687500E-1,-7.895999551E-1,-6.578999758E-1,-1.194700003E0,1.575946878E0
7.704703130E-1,-1.346199989E0,-1.314399958E0,-6.647999883E-1,1.995460018E0
7.804687500E-1,-1.499300003E0,-2.051599979E0,-2.947999835E-1,2.558098904E0
7.904718750E-1,-7.279999852E-1,-2.833400011E0,7.719999552E-2,2.926448264E0
8.004703130E-1,5.672000051E-1,-2.848999977E0,-8.280999660E-1,3.020640043E0
8.104671880E-1,7.253699780E0,-5.250899792E0,2.908999920E-1,8.959505116E0
8.204703130E-1,1.638719940E1,-6.324499607E0,4.912499905E0,1.823930522E1
8.305109380E-1,9.789999574E-2,1.243999973E-1,-1.943199992E0,1.949637397E0
8.404718750E-1,-3.943300009E0,9.001999497E-1,-2.174599886E0,4.592260835E0
8.504671880E-1,-9.783999920E-1,4.755999744E-1,9.860000014E-2,1.092329547E0
8.604703130E-1,1.464499950E0,-2.070000023E-2,-6.861000061E-1,1.617381159E0
8.705109380E-1,-8.529999852E-2,3.454000056E-1,-2.000200033E0,2.031594799E0
8.804703130E-1,-2.002399921E0,1.204999924E0,-1.676699996E0,2.876274176E0
8.904750000E-1,-3.560599804E0,1.645900011E0,1.206799984E0,4.104049709E0
9.005125000E-1,-2.538899899E0,2.192000002E-1,3.893499851E0,4.653321655E0
9.104671880E-1,-2.704599857E0,-4.989999905E-2,2.348599911E0,3.582355641E0
9.204671880E-1,-5.292599678E0,9.180999994E-1,4.810999930E-1,5.393141586E0
9.304671880E-1,-7.111399651E0,1.516099930E0,-9.563999772E-1,7.333843801E0
9.404796880E-1,-6.966699600E0,1.379899979E0,-3.881299973E0,8.093424291E0
9.504703130E-1,-6.028500080E0,2.820000052E-1,-3.550799847E0,7.002179430E0
9.604671880E-1,-4.541399956E0,2.037999928E-1,-4.849699974E0,6.647212787E0
9.705093750E-1,-2.076200008E0,7.572000027E-1,-6.683899879E0,7.039778116E0
9.804671880E-1,-5.879999995E-1,1.823799968E0,-4.046199799E0,4.477021681E0
9.904718750E-1,-6.028000116E-1,3.710799932E0,1.083899975E0,3.912575002E0
1.000468750E0,4.738999903E-1,4.560100079E0,3.300799847E0,5.649280800E0
1.010470313E0,3.022799969E0,4.282899857E0,2.172199965E0,5.674416580E0
1.020468750E0,4.681399822E0,3.205199957E0,-3.097999990E-1,5.681970354E0
1.030470313E0,3.720899820E0,1.919899940E0,-2.606899977E0,4.932244798E0
1.040471875E0,2.226599932E0,1.165799975E0,-2.537999868E0,3.571873482E0
1.050467188E0,1.299799919E0,4.174999893E-1,-1.150399923E0,1.785274784E0
1.060467188E0,-2.153499842E0,2.533999979E-1,3.019199848E0,3.717168391E0
1.070470313E0,-6.808999777E-1,-2.176499844E0,5.730299950E0,6.167423600E0
1.080468750E0,8.894000053E-1,-3.447099924E0,4.046899796E0,5.389891299E0
1.090470313E0,-2.066299915E0,-7.565999627E-1,2.606999874E-1,2.215852731E0
