"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.712999940E-1,-4.380000010E-2,-3.950999975E-1,4.328581015E-1
9.996875000E-3,-4.572999775E-1,-3.700999916E-1,-1.453000009E-1,6.059780223E-1
1.999687500E-2,-5.744000077E-1,3.469999880E-2,7.589999586E-2,5.804311054E-1
2.999531200E-2,-3.757999837E-1,3.790000081E-2,1.388999969E-1,4.024366372E-1
3.999843700E-2,7.750000060E-2,2.950000018E-2,3.276000023E-1,3.379323329E-1
4.999687500E-2,3.326999843E-1,1.074000001E-1,7.267999649E-1,8.065123859E-1
5.999687500E-2,4.615999758E-1,1.472000033E-1,6.007999778E-1,7.718179785E-1
6.999531200E-2,8.320000023E-2,1.028999984E-1,3.962999880E-1,4.178089638E-1
7.999687500E-2,-4.693999887E-1,2.899999963E-3,3.700000001E-3,4.694235288E-1
9.000000000E-2,-6.471999884E-1,-2.045999914E-1,-3.755999804E-1,7.757604828E-1
9.999687500E-2,-5.906999707E-1,-2.798999846E-1,-9.129999876E-1,1.122871067E0
1.099953120E-1,-5.220000148E-1,-2.515999973E-1,-1.275499940E0,1.400959197E0
1.199953120E-1,-4.518999755E-1,-1.474999934E-1,-1.229200006E0,1.317915965E0
1.299968750E-1,7.087999582E-1,-4.610999823E-1,-1.087999940E0,1.377952990E0
1.399984370E-1,5.752999783E-1,-2.861000001E-1,1.013999954E-1,6.504653981E-1
1.500265620E-1,-4.743999839E-1,1.729999930E-1,1.066200018E0,1.179731673E0
1.599953120E-1,-4.784999788E-1,6.069999933E-2,1.156999946E0,1.253513300E0
1.699953120E-1,-3.774999976E-1,6.369999796E-2,1.037400007E0,1.105786016E0
1.799953120E-1,-1.740000024E-2,-6.159999967E-2,6.434000134E-1,6.465762888E-1
1.899984370E-1,-1.344999969E-1,-2.890000045E-1,5.309999734E-2,3.231576419E-1
