"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.279899836E0,9.478999972E-1,-2.100999951E-1,2.478023340E0
9.992188000E-3,6.499999762E-2,8.919999748E-2,4.849999771E-2,1.205565802E-1
1.999218800E-2,-2.687999904E-1,7.779999822E-2,-2.759000063E-1,3.929721212E-1
2.999687500E-2,-3.389999866E-1,-7.360000163E-2,-7.261999846E-1,8.048008255E-1
3.999531300E-2,2.089999989E-2,-2.773000002E-1,-8.891999722E-1,9.316698399E-1
4.999531300E-2,3.893999755E-1,-2.985999882E-1,-8.126999736E-1,9.493553291E-1
5.999375000E-2,4.658999741E-1,-5.399999619E-1,-6.574999690E-1,9.700355426E-1
6.999531300E-2,7.425999641E-1,-1.029299974E0,-4.686999917E-1,1.352994023E0
7.999531300E-2,3.689999878E-2,-5.110999942E-1,-1.129999943E-2,5.125548790E-1
8.999218800E-2,2.337999940E-1,-4.244000018E-1,-4.470000044E-2,4.865962276E-1
9.999531300E-2,5.429999903E-2,-8.159999549E-2,6.109999865E-2,1.155000389E-1
1.099921880E-1,1.169999987E-1,-9.279999882E-2,-1.384000033E-1,2.036059930E-1
1.201437500E-1,-6.350000203E-2,3.130000085E-2,-2.303999960E-1,2.410313226E-1
1.301453130E-1,-2.272999883E-1,1.197999939E-1,-3.005999923E-1,3.954461766E-1
1.401421880E-1,-3.172000051E-1,8.789999783E-2,-3.925999999E-1,5.123251045E-1
1.499937500E-1,-1.471000016E-1,2.149999887E-2,-2.314999998E-1,2.751234456E-1
1.599937500E-1,-5.829999968E-2,-9.839999676E-2,-7.599999756E-2,1.373224270E-1
1.699921880E-1,1.105999947E-1,-3.479000032E-1,7.299999706E-3,3.651301974E-1
1.799953130E-1,1.471000016E-1,-4.851999879E-1,1.099999994E-3,5.070095154E-1
