"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-3.472999930E-1,-7.235999703E-1,-2.481999993E-1,8.401294197E-1
9.992187000E-3,-4.573999941E-1,-3.528999984E-1,-2.038999945E-1,6.126404911E-1
2.000468700E-2,-1.702999920E-1,-7.645999789E-1,-7.447999716E-1,1.080898799E0
2.999375000E-2,-1.851199985E0,5.993999839E-1,-2.443899870E0,3.123918741E0
3.999375000E-2,-1.038299918E0,6.809999794E-2,-1.675499916E0,1.972309382E0
4.999375000E-2,-3.172999918E-1,2.719999850E-2,-6.021999717E-1,6.812223797E-1
5.999218700E-2,-5.200000014E-3,5.240000039E-2,1.348000020E-1,1.447198693E-1
7.000468700E-2,4.082999825E-1,-8.529999852E-2,5.613999963E-1,6.993961119E-1
7.999375000E-2,6.983000040E-1,-1.230999976E-1,7.190999985E-1,1.009891733E0
8.999218700E-2,6.008999944E-1,-2.105000019E-1,2.470999956E-1,6.829710549E-1
9.999062500E-2,1.611000001E-1,-1.420999914E-1,-4.308999777E-1,4.814773187E-1
1.099937500E-1,-2.577999830E-1,-8.940000087E-2,-5.813999772E-1,6.422453775E-1
1.208484370E-1,-9.720999599E-1,8.049999923E-2,-5.816000104E-1,1.135657146E0
1.299937500E-1,-1.364399910E0,1.507999897E-1,-7.111999989E-1,1.546005559E0
1.399937500E-1,-1.110700011E0,6.109999865E-2,-5.074999928E-1,1.222679012E0
1.499937500E-1,-1.625399947E0,3.176999986E-1,6.732999682E-1,1.787789452E0
1.599937500E-1,-1.091099977E0,-2.012999952E-1,1.571499944E0,1.923702919E0
1.700046870E-1,6.419000030E-1,-9.717999697E-1,1.823499918E0,2.163696547E0
1.799921870E-1,1.429700017E0,-1.003499985E0,8.042999506E-1,1.923006180E0
1.899937500E-1,1.729099989E0,-8.071999550E-1,-3.858999908E-1,1.946863463E0
1.999921870E-1,1.335199952E0,-4.984999895E-1,-4.407999814E-1,1.491833025E0
2.099921870E-1,1.465999931E-1,1.885999888E-1,-2.355999947E-1,3.355128481E-1
2.200015620E-1,-4.912000000E-1,4.919999838E-1,2.193000019E-1,7.289951405E-1
2.299937500E-1,-4.183000028E-1,3.603000045E-1,4.737999737E-1,7.275145364E-1
2.399937500E-1,-3.163000047E-1,3.614999950E-1,1.263700008E0,1.351911850E0
2.499921870E-1,-3.387999833E-1,2.876999974E-1,1.526600003E0,1.589988769E0
2.599921870E-1,-9.075999856E-1,4.600000009E-2,7.675999999E-1,1.189564413E0
2.700046870E-1,-7.591999769E-1,-3.240000010E-1,-2.032999992E-1,8.501126368E-1
2.799937500E-1,-7.077999711E-1,-4.350000024E-1,-9.255999923E-1,1.243760888E0
2.899937500E-1,-5.494999886E-1,-5.942999721E-1,-7.313999534E-1,1.090911814E0
2.999937500E-1,-5.782999992E-1,-6.056999564E-1,-4.459999800E-1,9.487988767E-1
3.099937500E-1,-6.528999805E-1,-9.328999519E-1,-1.123999953E-1,1.144209100E0
3.200046870E-1,1.288999915E-1,-2.468099833E0,-2.710999846E-1,2.486287834E0
3.299937500E-1,7.915999889E-1,-3.274999857E0,2.426999956E-1,3.378040541E0
3.400359370E-1,-5.192999840E-1,-3.259199858E0,2.579999901E-2,3.300412372E0
3.499937500E-1,-1.149399996E0,-3.231299877E0,-3.152499914E0,4.658398325E0
3.599937500E-1,-9.268999696E-1,-3.704399824E0,-2.049099922E0,4.333651128E0
3.700031250E-1,-1.686800003E0,-2.357100010E0,-1.274199963E0,3.166196496E0
3.799937500E-1,-4.901999831E-1,-1.707599998E0,1.851999909E-1,1.786195065E0
3.899937500E-1,-1.433999985E-1,-1.339100003E0,1.385699987E0,1.932334555E0
3.999921870E-1,-5.449000001E-1,-5.521999598E-1,3.811999857E-1,8.643808390E-1
4.099921870E-1,-3.572999835E-1,-7.580000162E-2,-8.185999990E-1,8.963899133E-1
4.200453120E-1,-2.532999814E-1,7.599999662E-3,-3.197000027E-1,4.079543262E-1
4.299906250E-1,-5.837999582E-1,-1.077999994E-1,3.574999869E-1,6.930003404E-1
4.399937500E-1,9.679999948E-2,-1.674299955E0,1.580399990E0,2.304412009E0
4.499921870E-1,-6.631000042E-1,-9.229999781E-1,4.208999872E-1,1.211935384E0
