"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.821999788E-1,-1.099999994E-3,-6.353999972E-1,6.952490162E-1
9.996875000E-3,-2.046999931E-1,-1.915999949E-1,-8.879999816E-2,2.941055676E-1
2.000000000E-2,-8.909999579E-2,-9.319999814E-2,4.759999737E-2,1.374438382E-1
2.999375000E-2,3.539999947E-2,3.150000051E-2,1.922999918E-1,1.980522579E-1
3.999531300E-2,5.480000004E-2,1.228999943E-1,1.829999983E-1,2.271485153E-1
4.999531300E-2,5.309999734E-2,1.228000000E-1,3.879999742E-2,1.393014340E-1
5.999687500E-2,1.177999973E-1,2.479999885E-2,-2.513999939E-1,2.787361409E-1
7.000000000E-2,-8.169999719E-2,-4.639999941E-2,-7.414000034E-1,7.473297897E-1
7.999375000E-2,-3.538999856E-1,7.539999485E-2,-4.927999973E-1,6.113772946E-1
8.999531300E-2,-1.053999960E-1,-1.527999938E-1,-1.339000016E-1,2.288803349E-1
9.999375000E-2,9.319999814E-2,-9.669999778E-2,5.929999799E-2,1.468115084E-1
1.099953130E-1,4.093999863E-1,-1.296999902E-1,4.849999845E-1,6.478081670E-1
1.199984380E-1,1.640000008E-2,3.709999844E-2,3.883000016E-1,3.904129367E-1
1.299953130E-1,1.218999997E-1,6.480000168E-2,2.413999885E-1,2.780874046E-1
1.399937500E-1,3.282999992E-1,-7.229999453E-2,1.273999959E-1,3.594981748E-1
1.499953130E-1,1.921599984E0,-2.093499899E0,7.694999576E-1,2.944047980E0
1.599953130E-1,-4.147999883E-1,-5.938000083E-1,-7.380999923E-1,1.034141711E0
1.700000000E-1,-1.649399996E0,8.258999586E-1,-1.681899905E0,2.496280909E0
1.799953130E-1,-1.587899923E0,1.264299989E0,-1.472399950E0,2.507557026E0
1.899953130E-1,-1.369599938E0,1.287099957E0,-9.029999971E-1,2.085147306E0
2.001437500E-1,-1.253700018E0,1.200399995E0,-6.740999818E-1,1.862024347E0
2.101421880E-1,-6.818000078E-1,5.386999846E-1,-1.695999950E-1,8.853321876E-1
2.200015630E-1,-3.524000049E-1,6.469999999E-2,1.108999997E-1,3.750608795E-1
2.299953130E-1,-1.167999953E-1,-1.744000018E-1,4.422999918E-1,4.895782698E-1
2.399953130E-1,3.680999875E-1,-3.577999771E-1,4.777999818E-1,7.012925545E-1
2.499937500E-1,5.532999635E-1,-4.557999969E-1,6.772999763E-1,9.862199271E-1
2.599937500E-1,5.054000020E-1,-5.277000070E-1,4.302999973E-1,8.479708409E-1
2.700000000E-1,-3.288999796E-1,-1.405999959E-1,-2.739000022E-1,4.505161114E-1
2.799953130E-1,2.565999925E-1,-7.443000078E-1,-9.186999798E-1,1.209890785E0
2.899953130E-1,-2.829999849E-2,-1.013999939E0,3.615999818E-1,1.076917505E0
2.999953130E-1,3.937999904E-1,-1.341499925E0,1.764499903E0,2.251257512E0
3.099953130E-1,2.577999830E-1,-1.582799911E0,1.320400000E0,2.077299341E0
3.200015630E-1,-2.769999951E-2,-1.421700001E0,-3.695999980E-1,1.469218275E0
3.299937500E-1,2.134999931E-1,-7.471999526E-1,-1.404599905E0,1.605238583E0
3.399953130E-1,-1.343599916E0,2.760999799E-1,-1.407699943E0,1.965479855E0
3.499953130E-1,-2.097699881E0,6.283000112E-1,-6.735999584E-1,2.291035268E0
3.599953130E-1,-9.009000063E-1,-5.350000039E-2,-3.899999857E-1,9.831495615E-1
3.700015630E-1,4.566999972E-1,-1.039399981E0,-5.164999962E-1,1.247276816E0
3.799953130E-1,-1.885000020E-1,-1.291499972E0,2.789999917E-2,1.305481842E0
3.899953130E-1,-2.793499947E0,-9.510999918E-1,4.930000007E-2,2.951383343E0
4.000375000E-1,-2.606699944E0,-2.678200006E0,1.442799926E0,4.006159195E0
4.099953130E-1,-1.763700008E0,-3.976300001E0,1.593899965E0,4.632722366E0
4.200000000E-1,8.951999545E-1,-2.706499815E0,1.421299934E0,3.185375600E0
4.300375000E-1,3.385999799E-1,-2.067600012E0,-3.656999767E-1,2.126818335E0
4.399937500E-1,-3.283999860E-1,-3.366199970E0,-8.112999797E-1,3.478125421E0
4.499953130E-1,-1.219900012E0,-3.377300024E0,-1.080999970E0,3.750049657E0
4.599953130E-1,1.542999893E-1,-4.385699749E0,-5.615999699E-1,4.424202222E0
4.700421880E-1,1.162099957E0,-4.509099960E0,-3.364499807E0,5.744764374E0
4.799937500E-1,1.083999947E-1,-4.607199669E0,-3.920199871E0,6.050289776E0
4.899953130E-1,-1.388399959E0,-3.923299789E0,-3.210799932E0,5.256345868E0
4.999953130E-1,-4.025000036E-1,-3.209399939E0,-3.157199860E0,4.519974023E0
5.099953130E-1,3.866299868E0,-2.287999868E0,-3.690199852E0,5.813844942E0
5.200109380E-1,1.177979946E1,-4.651299953E0,3.326900005E0,1.309452291E1
5.300359380E-1,1.731079865E1,-2.901299953E0,7.347899914E0,1.902821390E1
5.399937500E-1,9.382900238E0,1.124400020E0,4.366600037E0,1.041010510E1
5.500359380E-1,-3.391700029E0,4.331699848E0,-5.942999721E-1,5.533574353E0
5.599968750E-1,-1.269299984E1,5.023799896E0,-4.717999995E-1,1.365918759E1
5.699968750E-1,-1.423339939E1,2.713500023E0,1.221599936E0,1.454115013E1
5.800359380E-1,-1.427549934E1,-3.287999928E-1,4.585999846E-1,1.428664778E1
5.899953130E-1,-9.007200241E0,-2.440500021E0,-1.910399914E0,9.525509139E0
5.999921880E-1,-4.443999767E0,-3.414999962E0,-3.040899992E0,6.376396430E0
6.100359380E-1,-3.462800026E0,-3.243099928E0,-3.439499855E0,5.859935189E0
6.200093750E-1,-3.788199902E0,-2.632499933E0,-1.276799917E0,4.786515687E0
6.299953130E-1,-3.033399820E0,-2.342000008E0,4.899999797E-1,3.863493042E0
6.399953130E-1,-1.798999906E0,-2.223500013E0,8.457999825E-1,2.982571136E0
6.499953130E-1,2.673899889E0,2.973399878E0,-4.265999794E-1,4.021546343E0
6.599921880E-1,4.046299934E0,1.154859924E1,-2.005499840E0,1.240019021E1
6.699968750E-1,6.165999889E0,1.127799988E1,-2.985399961E0,1.319566023E1
6.800359380E-1,6.855199814E0,6.141799927E0,-7.013999820E-1,9.230787223E0
6.899937500E-1,5.297999978E-1,8.157500267E0,-2.728999853E0,8.618174914E0
6.999953130E-1,-1.851799965E0,6.239099979E0,-2.636999786E-1,6.513452951E0
7.099953130E-1,-2.197200060E0,2.322999954E0,1.392099977E0,3.487400068E0
7.200125000E-1,-1.571099997E0,-4.596000016E-1,1.007799983E0,1.922302829E0
7.299953130E-1,-1.203699946E0,-1.810599923E0,2.390999943E-1,2.187312152E0
7.399953130E-1,-2.707499981E0,-1.136600018E0,-8.809999824E-1,3.065709822E0
7.499968750E-1,-3.352299929E0,2.954999804E-1,-1.785699964E0,3.809719072E0
7.599937500E-1,-2.710500002E0,2.876999974E-1,-2.268399954E0,3.546155651E0
7.700390630E-1,-4.944999814E-1,-1.378000021E0,-2.953599930E0,3.296538614E0
7.799968750E-1,2.933000028E-1,-2.026000023E0,-2.325199842E0,3.097943720E0
7.899953130E-1,-7.032999992E-1,-2.836000025E-1,-9.805999994E-1,1.239611314E0
7.999953130E-1,-6.923999786E-1,1.753199935E0,2.566999793E-1,1.902372892E0
8.099937500E-1,1.570999920E-1,2.849900007E0,5.030999780E-1,2.898227052E0
8.200093750E-1,7.166999578E-1,2.751699924E0,4.479999840E-1,2.878578693E0
8.299953130E-1,5.918999910E-1,2.194499969E0,5.299999937E-2,2.273540128E0
8.399953130E-1,-4.835999906E-1,1.874899983E0,-4.499999806E-3,1.936269389E0
8.499953130E-1,-1.543099999E0,1.420300007E0,4.870999753E-1,2.153062030E0
8.599937500E-1,-2.767400026E0,1.065599918E0,6.875000000E-1,3.044119305E0
8.699984380E-1,-3.678799868E0,5.256000161E-1,5.795999765E-1,3.761084947E0
8.799953130E-1,-2.837699890E0,-2.096999884E-1,-1.636999995E-1,2.850142530E0
8.899953130E-1,-2.407399893E0,-4.153999984E-1,-6.187999845E-1,2.520127938E0
8.999953130E-1,-3.315399885E0,4.181999862E-1,-8.793999553E-1,3.455446702E0
9.099953130E-1,-2.255399942E0,8.791999817E-1,-9.849999845E-2,2.422710003E0
9.199984380E-1,-1.314299941E0,7.710999846E-1,1.708000004E-1,1.533346719E0
9.299921880E-1,-1.072999954E0,7.699999809E-1,-2.979999967E-2,1.321028733E0
9.399953130E-1,-4.750999808E-1,7.784999609E-1,1.844999939E-1,9.304957972E-1
9.499937500E-1,6.245999932E-1,1.788000017E-1,7.924999595E-1,1.024768646E0
9.599953130E-1,1.308300018E0,-3.525999784E-1,1.110199928E0,1.751719031E0
9.699968750E-1,3.034099817E0,-5.902000070E-1,-1.529999916E-2,3.091008224E0
9.799953130E-1,2.764299870E0,-8.280000091E-2,-2.034600019E0,3.433337567E0
9.899953130E-1,-1.046899915E0,-4.869999886E-1,-1.718899965E0,2.070696866E0
9.999953130E-1,-1.077600002E0,-1.094900012E0,4.699999839E-2,1.536956994E0
1.009992188E0,8.298999667E-1,-1.516000032E-1,5.381999612E-1,1.000687621E0
1.019995313E0,2.531499863E0,8.540000021E-2,-7.872999907E-1,2.652475446E0
1.029995313E0,7.728999853E-1,-4.433999956E-1,-1.114799976E0,1.427149933E0
