"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-3.018465042E-1,1.682994366E-1,7.751941681E-1,8.487414275E-1
4.825937000E-3,-5.980491638E-2,2.000713348E-1,8.665485382E-1,8.913537660E-1
9.651041000E-3,6.545519829E-2,1.342856884E-1,8.637189865E-1,8.765429349E-1
1.447697900E-2,9.167385101E-2,9.267091751E-3,7.761297226E-1,7.815800153E-1
1.930364500E-2,-9.717416763E-2,-2.207858562E-1,6.552839279E-1,6.982737567E-1
2.412958300E-2,-5.081794262E-1,-4.679195881E-1,4.702644348E-1,8.356696170E-1
2.895468700E-2,-7.315032482E-1,-3.346357346E-1,-1.332798004E-1,8.153781835E-1
3.378062500E-2,-1.053148746E0,-4.000048637E-1,-2.161846161E-1,1.147110266E0
3.860734300E-2,-1.272488356E0,-5.320186615E-1,-4.839420319E-2,1.380076980E0
4.343322900E-2,-1.365933299E0,-7.052594423E-1,1.626844406E-1,1.545843099E0
4.825838500E-2,-1.344386101E0,-8.288273811E-1,5.054473877E-1,1.658253864E0
5.308427000E-2,-1.226085305E0,-8.424656391E-1,7.701053619E-1,1.675140531E0
5.791098900E-2,-1.000649691E0,-7.339215279E-1,8.625516891E-1,1.511269674E0
6.273692700E-2,-6.890182495E-1,-5.527051687E-1,6.244401932E-1,1.081736893E0
6.756203100E-2,-4.336307049E-1,-3.836711645E-1,4.761362076E-1,7.496298012E-1
7.238796800E-2,-2.311623096E-1,-2.376441956E-1,4.286766052E-1,5.419173451E-1
7.721463500E-2,-5.691909790E-2,-1.231937408E-1,3.931875229E-1,4.159482055E-1
8.204057300E-2,1.062955856E-1,-9.957766533E-2,3.739128113E-1,4.012795203E-1
8.686567700E-2,2.844152451E-1,-1.363308430E-1,2.983541489E-1,4.341581837E-1
9.169161400E-2,4.791545868E-1,-1.918706894E-1,-1.343698502E-1,5.333467316E-1
9.651828100E-2,5.413208008E-1,-2.676281929E-1,-3.512725830E-1,6.986025240E-1
1.013442180E-1,4.201729298E-1,-2.624564171E-1,-2.466487885E-1,5.534114985E-1
1.061693230E-1,2.492773533E-1,-2.575829029E-1,-2.485656738E-2,3.593132334E-1
1.109952600E-1,6.101179123E-2,-2.787969112E-1,1.572074890E-1,3.258287142E-1
1.158219790E-1,-2.345204353E-1,-3.561120033E-1,2.935762405E-1,5.176896778E-1
1.206478640E-1,-6.229041815E-1,-4.461952448E-1,1.891918182E-1,7.892359342E-1
1.254730200E-1,-9.765557051E-1,-5.692700148E-1,2.488422394E-2,1.130640800E0
1.302989060E-1,-1.294985771E0,-6.496949196E-1,-7.642269135E-2,1.450838400E0
1.351256250E-1,-1.487600803E0,-7.262972593E-1,-1.911973953E-1,1.666439409E0
1.399515100E-1,-1.551064253E0,-7.854746580E-1,-2.493953705E-1,1.756407927E0
1.447766660E-1,-1.519026041E0,-8.747595549E-1,-3.651638031E-1,1.790527575E0
1.496026040E-1,-1.373889446E0,-9.892187119E-1,-4.765777588E-1,1.758764405E0
1.544292700E-1,-1.153123856E0,-1.126221776E0,-6.071882248E-1,1.722424935E0
1.592552080E-1,-8.865743876E-1,-1.315894008E0,-6.792163849E-1,1.725956570E0
1.640803120E-1,-7.346647978E-1,-1.397720814E0,-7.830028534E-1,1.762512215E0
1.689062500E-1,-6.955710649E-1,-1.411178827E0,-8.475046158E-1,1.787039133E0
1.737329160E-1,-6.788539886E-1,-1.251566291E0,-7.888259888E-1,1.627730739E0
1.785588540E-1,-6.571999788E-1,-9.662543535E-1,-6.348552704E-1,1.329887402E0
1.833839580E-1,-6.386824846E-1,-6.437264681E-1,-4.012479782E-1,9.916143514E-1
1.882098950E-1,-7.620348930E-1,-4.223450422E-1,-1.011962891E-1,8.771050119E-1
1.930366140E-1,-9.717121124E-1,-2.568696737E-1,1.579608917E-1,1.017427197E0
1.978625000E-1,-1.184169650E0,-1.049606800E-1,3.104467392E-1,1.228678836E0
2.026876560E-1,-1.324183941E0,3.517913818E-2,2.985048294E-1,1.357868114E0
2.075135410E-1,-1.301470280E0,1.289227009E-1,1.643867493E-1,1.318130857E0
2.123402600E-1,-1.260873675E0,1.582927704E-1,-2.193355560E-2,1.270960309E0
2.171661980E-1,-1.246710062E0,1.004979610E-1,-1.089668274E-1,1.255491772E0
2.219913020E-1,-1.279304504E0,-9.271597862E-2,-9.120941162E-2,1.285898684E0
2.268172390E-1,-1.367050529E0,-2.641280890E-1,-1.538934708E-1,1.400811906E0
2.316439060E-1,-1.470350981E0,-3.887108564E-1,-2.999382019E-1,1.550158399E0
2.364698430E-1,-1.621816635E0,-4.260438681E-1,-3.457574844E-1,1.712118808E0
2.412949480E-1,-1.777870059E0,-3.951287270E-1,-3.369550705E-1,1.852157493E0
2.461208850E-1,-1.826144576E0,-3.168181181E-1,-2.974748611E-1,1.877143848E0
2.509476040E-1,-1.520796061E0,-1.789506674E-1,-1.023530960E-1,1.534705234E0
2.557734890E-1,-1.306488514E0,1.075279713E-2,-8.586978912E-2,1.309351550E0
2.605985930E-1,-1.149249911E0,2.247006893E-1,-9.185504913E-2,1.174607640E0
2.654245310E-1,-9.435110092E-1,3.945578337E-1,-3.043308258E-1,1.067008041E0
2.702512500E-1,-6.219010949E-1,5.875201225E-1,-5.954380035E-1,1.042347007E0
2.750771350E-1,-2.643901706E-1,7.832853794E-1,-6.550922394E-1,1.054790970E0
2.799022910E-1,-5.037653446E-2,7.561131716E-1,-3.898820877E-1,8.522047675E-1
2.847281770E-1,-2.346807718E-2,6.013466120E-1,-2.601375580E-1,6.556218784E-1
2.895548950E-1,-1.212469935E-1,4.487507343E-1,-4.602499008E-1,6.541467926E-1
2.943808330E-1,-2.934280932E-1,3.256517649E-1,-6.340293884E-1,7.708063202E-1
2.992059370E-1,-4.807269871E-1,2.213833332E-1,-7.229557037E-1,8.959765432E-1
3.040318750E-1,-6.620668173E-1,2.194180489E-1,-8.038568497E-1,1.064266219E0
3.088585410E-1,-8.887015581E-1,3.308047056E-1,-7.585887909E-1,1.214363688E0
3.136844790E-1,-1.138264656E0,3.764820099E-1,-5.270309448E-1,1.309636113E0
3.185096350E-1,-1.368807077E0,4.079003334E-1,-5.769863129E-1,1.540431336E0
3.233355200E-1,-1.588850617E0,4.314882755E-1,-9.522399902E-1,1.901943589E0
3.281622390E-1,-1.676278114E0,4.660705328E-1,-1.883230686E0,2.563920411E0
3.329881250E-1,-1.459617138E0,8.352477551E-1,-4.456432343E0,4.763182783E0
3.378132810E-1,-1.678049326E0,9.741585255E-1,-4.724717617E0,5.107620868E0
3.426392180E-1,-2.074863195E0,7.151812315E-1,-2.866386890E0,3.610085218E0
3.474658850E-1,-2.160431623E0,1.456078291E-1,-1.696266174E0,2.750633631E0
3.522918230E-1,-2.295528412E0,-5.383276939E-1,-2.503013611E-1,2.371054231E0
3.571169270E-1,-2.436089277E0,-6.757162809E-1,5.571002960E-1,2.588722503E0
3.619428640E-1,-2.538359642E0,-2.641141415E-1,6.858367920E-1,2.642611976E0
3.667695830E-1,-2.411657333E0,2.812683582E-1,9.770927429E-1,2.617233885E0
3.715954680E-1,-1.786952615E0,8.878380060E-1,2.161326408E0,2.941562139E0
3.764206250E-1,-6.876547337E-1,1.481823564E0,4.215284348E0,4.520762351E0
3.812465100E-1,4.473190010E-1,1.735029936E0,4.984013557E0,5.296301946E0
3.860732290E-1,1.078671575E0,1.572137117E0,3.604088783E0,4.077327978E0
3.908991660E-1,1.417498946E0,1.148344278E0,2.660549164E0,3.225913777E0
3.957242700E-1,1.486451387E0,5.182718039E-1,2.849820137E0,3.255705485E0
4.005502080E-1,1.270755768E0,-2.120580673E-1,2.913767815E0,3.185880055E0
4.053768750E-1,8.725287914E-1,-7.195016146E-1,2.351110458E0,2.608967124E0
4.102028120E-1,4.668383598E-1,-8.012685776E-1,1.419162750E0,1.695285315E0
4.150279160E-1,2.486207485E-1,-5.116871595E-1,4.295015335E-1,7.128166616E-1
4.198538540E-1,3.449671566E-1,-4.516458511E-2,-3.116254807E-1,4.670681097E-1
4.246805730E-1,6.889821291E-1,3.806661367E-1,-8.089742661E-1,1.128734887E0
4.295064580E-1,1.139185071E0,6.797182560E-1,-1.211758614E0,1.796696544E0
4.343316140E-1,1.530081987E0,9.024422169E-1,-1.556428909E0,2.361784028E0
4.391575520E-1,1.737336397E0,1.016254783E0,-1.741594791E0,2.661628065E0
4.439842180E-1,1.721955419E0,9.052082300E-1,-1.149593353E0,2.259667516E0
4.488101560E-1,1.370086193E0,4.312753677E-1,-5.753421783E-2,1.437513411E0
4.536352600E-1,2.302055806E-1,1.438356638E-1,2.209157944E-1,3.499815648E-1
4.584611980E-1,-1.051166534E0,1.490103006E-1,5.185642242E-1,1.181551526E0
4.632879160E-1,-2.226940155E0,1.621322632E-1,7.664117813E-1,2.360706747E0
4.681138020E-1,-3.096741915E0,-5.930638313E-2,1.097848892E0,3.286122323E0
4.729389580E-1,-3.493442774E0,-7.867079973E-1,1.709209442E0,3.967927520E0
