"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,5.003538132E-1,-5.293140411E-1,7.819952965E-1,1.068664557E0
4.825938000E-3,4.977750778E-1,-4.834709167E-1,8.796596527E-1,1.120412986E0
9.651042000E-3,3.380193710E-1,-4.619183540E-1,9.274902344E-1,1.089891644E0
1.447692700E-2,1.023364067E-1,-4.707179070E-1,8.640565872E-1,9.892632986E-1
1.930359400E-2,-1.281666756E-1,-5.162892342E-1,7.488226891E-1,9.185405215E-1
2.412953100E-2,-4.376392365E-1,-6.072597504E-1,7.656049728E-1,1.070721009E0
2.895463600E-2,-8.807497025E-1,-7.111406326E-1,8.822326660E-1,1.435191804E0
3.378052100E-2,-1.409308910E0,-8.383250237E-1,8.370904922E-1,1.841103186E0
3.860718800E-2,-1.963963509E0,-1.030877352E0,6.632552147E-1,2.315117331E0
4.343312500E-2,-2.705365896E0,-2.005580425E0,5.754804611E-1,3.416509218E0
4.825822900E-2,-2.714202881E0,-2.029776812E0,4.990777969E-1,3.425780178E0
5.308411500E-2,-2.131054878E0,-1.689484119E0,4.760322571E-1,2.760861857E0
5.791083400E-2,-1.785704613E0,-1.241621256E0,4.172453880E-1,2.214601097E0
6.273671900E-2,-1.851946354E0,-6.612794399E-1,2.875404358E-1,1.987379002E0
6.756182300E-2,-2.020291328E0,-1.510529518E-1,2.308192253E-1,2.039036920E0
7.238770900E-2,-1.982295513E0,1.181082726E-1,1.479210854E-1,1.991312560E0
7.721442700E-2,-1.746819019E0,1.816112995E-1,-4.114246368E-2,1.756716270E0
8.204031300E-2,-1.426407337E0,1.082136631E-1,-1.217355728E-1,1.435676718E0
8.686541700E-2,-1.094661713E0,2.919888496E-2,1.217794418E-2,1.095118780E0
9.169135400E-2,-8.806715012E-1,-5.350017548E-2,3.822865486E-1,9.615547655E-1
9.651802100E-2,-7.795610428E-1,-1.259632111E-1,6.768279076E-1,1.040037579E0
1.013439060E-1,-7.550911903E-1,-1.793696880E-1,7.373557091E-1,1.070527735E0
1.061690110E-1,-8.265457153E-1,-1.440026760E-1,7.474384308E-1,1.123645317E0
1.109949480E-1,-8.869438171E-1,-5.652809143E-2,8.647284508E-1,1.240008086E0
1.158216150E-1,-9.087252617E-1,-6.943655014E-2,9.862380028E-1,1.342858307E0
1.206475000E-1,-9.837336540E-1,-1.632759571E-1,1.074240208E0,1.465736321E0
1.254726560E-1,-1.018523216E0,-4.522373676E-1,1.102751255E0,1.567790965E0
1.302985420E-1,-6.701788902E-1,-1.476016402E0,1.092008114E0,1.954544930E0
1.351252090E-1,-6.285223961E-1,-2.088213921E0,1.168500900E0,2.474080058E0
1.399511460E-1,-6.123032570E-1,-2.278692961E0,1.344919205E0,2.715909526E0
1.447762500E-1,-5.192227364E-1,-2.139835596E0,1.413434982E0,2.616541052E0
1.496021360E-1,-5.226588249E-1,-1.675669193E0,1.188967705E0,2.120066908E0
1.544288540E-1,2.019076347E-1,-9.760479927E-1,3.088722229E-1,1.043474210E0
1.592547400E-1,1.855991840E0,-8.393824100E-2,-2.695646286E-1,1.877342917E0
1.640798440E-1,2.393293381E-2,2.886114120E-1,5.383291245E-1,6.112835502E-1
1.689057290E-1,-1.283825397E0,5.332353115E-1,5.536184311E-1,1.496342513E0
1.737324480E-1,-1.163126469E0,1.015074492E0,4.369568825E-1,1.604422239E0
1.785583340E-1,-9.060039520E-1,1.042980075E0,-1.300323009E0,1.897232333E0
1.833834380E-1,-1.039660454E0,9.021911621E-1,-9.941725731E-1,1.698005258E0
1.882093750E-1,-9.914412498E-1,7.180817127E-1,1.197562695E0,1.712528396E0
1.930360420E-1,-1.053445816E0,2.864708900E-1,1.970440865E0,2.252654181E0
1.978619270E-1,-9.016513824E-1,-6.234085560E-2,2.172622681E0,2.353115150E0
2.026870310E-1,-6.900162697E-1,-1.779597998E-1,2.016751289E0,2.138943175E0
2.075129690E-1,-5.817112923E-1,-1.694886684E-1,1.416774750E0,1.540897507E0
2.123396360E-1,-5.387110710E-1,-1.561256647E-1,7.784004211E-1,9.594227727E-1
2.171655730E-1,-4.254388809E-1,-1.021872759E-1,2.797269821E-1,5.193146111E-1
2.219906770E-1,-3.148856163E-1,-5.014991760E-2,-3.637695312E-2,3.209224958E-1
2.268165630E-1,-2.065944672E-1,8.795881271E-2,-2.487449646E-1,3.351001104E-1
2.316432810E-1,-1.466312408E-1,2.736573219E-1,-4.705624580E-1,5.637535610E-1
2.364691670E-1,-1.267743111E-1,5.276518464E-1,-7.515382767E-1,9.269832675E-1
2.412942710E-1,-6.253004074E-2,7.621149421E-1,-9.748091698E-1,1.238943949E0
2.461201560E-1,-7.698535919E-3,9.727013707E-1,-1.055698395E0,1.435516048E0
2.509468750E-1,8.734893799E-2,1.107826471E0,-9.373264313E-1,1.453784773E0
2.557727610E-1,2.231216431E-1,1.135614395E0,-7.293043137E-1,1.367950330E0
2.605978650E-1,3.764748573E-1,1.073899031E0,-5.961513519E-1,1.284674621E0
2.654238020E-1,5.450320244E-1,1.023178220E0,-4.518394470E-1,1.244231676E0
2.702504690E-1,6.866393089E-1,1.020696163E0,-2.753944397E-1,1.260609494E0
2.750764060E-1,8.121314049E-1,9.356321096E-1,-1.171922684E-1,1.244467312E0
2.799015110E-1,7.733798027E-1,7.969340086E-1,-5.020713806E-2,1.111638831E0
2.847273960E-1,5.170173645E-1,6.923266649E-1,-1.336383820E-2,8.641769254E-1
2.895540630E-1,1.395645142E-1,6.513552070E-1,4.273891449E-2,6.675091565E-1
2.943800000E-1,-2.078285217E-1,5.729405284E-1,1.354789734E-2,6.096204467E-1
2.992051040E-1,-4.480037689E-1,5.021263361E-1,1.211595535E-1,6.837527856E-1
3.040309900E-1,-6.714704037E-1,4.009051323E-1,2.911958694E-1,8.345013256E-1
3.088577090E-1,-9.437451363E-1,3.545721173E-1,4.501075745E-1,1.104071147E0
3.136835940E-1,-1.179796219E0,2.635958791E-1,5.484762192E-1,1.327489385E0
3.185086980E-1,-1.285008192E0,1.695494056E-1,5.298299789E-1,1.400254570E0
3.233346360E-1,-1.273354769E0,7.152694464E-2,4.678297043E-1,1.358459828E0
3.281613020E-1,-1.243240118E0,1.629352570E-2,2.268657684E-1,1.263874815E0
3.329872400E-1,-1.181168795E0,4.488909245E-2,-1.219940186E-2,1.182084421E0
3.378123440E-1,-1.059687376E0,6.741315126E-2,-2.077445984E-1,1.081961037E0
3.426382290E-1,-8.372254372E-1,1.602190733E-1,-2.523756027E-1,8.889938295E-1
3.474649480E-1,-7.023892403E-1,2.682224512E-1,-2.740497589E-1,8.002482106E-1
3.522908340E-1,-6.984281540E-1,3.412664533E-1,-3.679723740E-1,8.600397354E-1
3.571159380E-1,-7.695200443E-1,3.652367592E-1,-4.575080872E-1,9.668881211E-1
3.619418750E-1,-9.641866684E-1,3.405457139E-1,-5.499420166E-1,1.161061384E0
3.667685420E-1,-1.170811892E0,3.172950149E-1,-5.936574936E-1,1.350520578E0
3.715944270E-1,-9.781379700E-1,4.634041786E-1,-6.370220184E-1,1.255903807E0
3.764195310E-1,-4.292924404E-1,8.144682646E-1,-6.306715012E-1,1.115973609E0
3.812454690E-1,2.315216064E-1,1.315259218E0,-6.842660904E-1,1.500576272E0
3.860721360E-1,6.285519600E-1,1.794678807E0,-9.246816635E-1,2.114470564E0
3.908980730E-1,5.262277126E-1,2.029542208E0,-1.074412823E0,2.355911733E0
3.957231770E-1,2.507588863E-1,2.078490257E0,-6.811151505E-1,2.201572078E0
4.005490630E-1,-7.274007797E-2,1.963541627E0,8.658027649E-2,1.966795105E0
4.053757810E-1,-5.330739021E-1,1.691822052E0,7.583522797E-1,1.929126181E0
4.102016670E-1,-9.858634472E-1,1.261361599E0,1.131633759E0,1.960498606E0
4.150268230E-1,-1.340675831E0,8.579941988E-1,1.290361404E0,2.049048141E0
4.198527090E-1,-1.316831350E0,5.334448814E-1,1.090259552E0,1.790886411E0
4.246793750E-1,-1.087308764E0,2.212225199E-1,9.177379608E-1,1.439938442E0
4.295053130E-1,-8.439315557E-1,1.474595070E-2,7.139778137E-1,1.105532556E0
4.343304170E-1,-7.182035446E-1,-1.737525463E-1,2.612791061E-1,7.837557337E-1
4.391563020E-1,-7.634689808E-1,-3.857851028E-1,-2.532634735E-1,8.921084111E-1
4.439830210E-1,-9.560129642E-1,-6.009269953E-1,-6.610422134E-1,1.308453610E0
4.488089060E-1,-1.275743008E0,-8.321602345E-1,-8.516616821E-1,1.745089825E0
4.536340110E-1,-1.497214437E0,-9.550342560E-1,-7.510852814E-1,1.928178052E0
4.584599480E-1,-1.487790942E0,-9.129630327E-1,-5.325269699E-1,1.824995441E0
4.632866150E-1,-1.443805933E0,-7.975594997E-1,-3.414764404E-1,1.684423607E0
4.681125520E-1,-1.487740159E0,-7.066622972E-1,-1.396903992E-1,1.652953657E0
4.729376560E-1,-1.530803323E0,-6.562178135E-1,8.404064178E-2,1.667646084E0
4.777635420E-1,-1.466220140E0,-5.411660671E-1,2.315893173E-1,1.579967033E0
4.825902610E-1,-1.165015459E0,-3.762693405E-1,2.677383423E-1,1.253205273E0
4.874161460E-1,-7.737573981E-1,-2.143617868E-1,4.876136780E-2,8.043812267E-1
4.922412500E-1,-5.320696831E-1,-1.192593575E-1,-5.083827972E-1,7.455025221E-1
4.970671880E-1,-4.426864982E-1,1.982378960E-2,-1.227331161E0,1.304877810E0
5.018938540E-1,-4.210422039E-1,1.616261005E-1,-1.786238670E0,1.842294255E0
5.067197920E-1,-3.243214190E-1,3.411593437E-1,-1.989681244E0,2.044604004E0
5.115448960E-1,-1.294636428E-1,4.237666130E-1,-1.867131710E0,1.918989265E0
5.163707810E-1,-1.384840310E-1,2.490761280E-1,-1.602063656E0,1.627213785E0
5.211975000E-1,-4.839328527E-1,-2.354521751E-1,-1.459403515E0,1.555470139E0
5.260233860E-1,-9.035134912E-1,-6.404839754E-1,-1.404936314E0,1.788966852E0
5.308484900E-1,-8.974516988E-1,-7.657514811E-1,-1.354580402E0,1.796297010E0
5.356744270E-1,-4.637630582E-1,-7.020667791E-1,-1.241590500E0,1.499840293E0
5.405010940E-1,1.730545759E-1,-6.487821341E-1,-1.215712547E0,1.388820774E0
5.453270310E-1,7.099217176E-1,-6.726487875E-1,-1.373215675E0,1.685872631E0
5.501521360E-1,1.069922805E0,-7.279278040E-1,-1.303808212E0,1.836989262E0
