"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-6.786999702E-1,-2.213999927E-1,6.129999757E-1,9.409678935E-1
9.979687000E-3,-5.297999978E-1,1.735999882E-1,2.949999869E-1,6.307535064E-1
1.999062500E-2,-3.457999825E-1,3.143999875E-1,1.834999919E-1,5.020928471E-1
3.000156200E-2,2.045199871E0,-1.024999991E-1,-3.129000068E-1,2.071534498E0
3.998125000E-2,1.861199975E0,3.669999912E-2,8.578999639E-1,2.049732808E0
4.999218700E-2,1.764400005E0,4.174999893E-1,1.749499917E0,2.519556227E0
6.000312500E-2,1.472299933E0,4.147999883E-1,2.862599850E0,3.245643854E0
6.998281200E-2,9.108999968E-1,9.300000034E-3,3.168499947E0,3.296849588E0
7.999531200E-2,-8.529999852E-2,-4.457999766E-1,2.984299898E0,3.018618822E0
8.997500000E-2,-1.032199979E0,-8.800999522E-1,1.738600016E0,2.205162746E0
9.998593700E-2,-2.253499985E0,-1.808099985E0,2.201000005E-1,2.897573424E0
1.099968750E-1,-2.165899992E0,-2.967900038E0,1.920999885E-1,3.679192278E0
1.199765620E-1,-2.245599985E0,-2.609200001E0,3.714999855E-1,3.462463888E0
1.299875000E-1,-1.083999991E0,-1.605499983E0,-3.649999946E-2,1.937528948E0
1.399984370E-1,2.109899998E0,-1.485299945E0,-3.631999791E-1,2.605706843E0
1.499781250E-1,3.232100010E0,-1.081699967E0,1.724399924E0,3.819698992E0
1.599890620E-1,2.722399950E0,-3.039999865E-2,1.912699938E0,3.327282179E0
1.700015620E-1,2.117199898E0,4.387999773E-1,1.781499982E0,2.801575095E0
1.799796870E-1,1.585199952E0,9.756999612E-1,1.008800030E0,2.117197866E0
1.899921870E-1,1.498299956E0,8.989999890E-1,5.059999973E-2,1.748045794E0
2.000031250E-1,2.442399979E0,-1.253999919E-1,-6.308999658E-1,2.525683587E0
2.099828120E-1,1.801199913E0,-1.695999950E-1,-8.543999791E-1,2.000771004E0
2.199937500E-1,9.738999605E-1,-3.563999832E-1,-6.488999724E-1,1.223345109E0
2.300046870E-1,9.987999797E-1,-1.233999968E0,-6.473999619E-1,1.714492353E0
2.399843750E-1,9.190999866E-1,-2.025099993E0,-2.856000066E-1,2.242173528E0
2.499953120E-1,9.623000026E-1,-1.750999928E0,3.305999935E-1,2.025171202E0
2.599750000E-1,1.527999997E0,-6.617999673E-1,1.957999915E-1,1.676633778E0
2.699859370E-1,2.427199841E0,2.782999873E-1,2.409999967E-1,2.454960478E0
2.799968750E-1,3.342700005E0,-7.349999994E-2,-6.226999760E-1,3.400999975E0
2.899765620E-1,3.312700033E0,-6.880999804E-1,-1.352499962E0,3.643723266E0
2.999875000E-1,3.082999945E0,-1.296299934E0,-1.860799909E0,3.827252079E0
3.100000000E-1,1.353299975E0,-9.595999718E-1,-1.512099981E0,2.244704721E0
3.199796870E-1,-1.707999945E0,-5.406000018E-1,-6.909999996E-2,1.792843268E0
3.299906250E-1,-6.402599812E0,3.822000027E-1,4.705999792E-1,6.431238258E0
3.400015620E-1,-1.596599936E0,-1.273699999E0,2.500000000E-1,2.057654744E0
3.499812500E-1,1.727000028E-1,-1.153699994E0,5.546999574E-1,1.291720175E0
3.599921870E-1,1.235899925E0,8.590000123E-2,5.649999976E-1,1.361635940E0
3.700031250E-1,1.368699908E0,1.712999940E-1,-1.174999997E-1,1.384373279E0
3.799828120E-1,6.442999840E-1,-1.560999900E-1,-1.242900014E0,1.408648331E0
3.899953120E-1,-2.400000021E-2,-5.198000073E-1,-1.503899932E0,1.591377722E0
3.999750000E-1,-2.028999925E-1,-3.822999895E-1,-3.041999936E-1,5.290173201E-1
