"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-3.940000013E-2,-2.191999912E0,-5.669999868E-2,2.193087063E0
9.981250000E-3,-8.370000124E-2,-2.163399935E0,-1.173699975E0,2.462697017E0
1.999062500E-2,-2.008000016E-1,-2.146199942E0,-1.372799993E0,2.555596731E0
3.000312500E-2,-9.839999676E-2,-2.591199875E0,-1.415499926E0,2.954257841E0
3.998125000E-2,3.281999826E-1,-2.782699823E0,-9.267999530E-1,2.951286446E0
5.000312500E-2,1.106899977E0,-2.968799829E0,8.838999867E-1,3.289419276E0
6.000468700E-2,1.583999991E0,-3.392400026E0,3.293799877E0,4.986637298E0
6.998437500E-2,1.004999995E0,-3.812199831E0,5.224899769E0,6.545415964E0
7.999531200E-2,2.297199965E0,-3.085700035E0,4.980199814E0,6.292937515E0
9.000625000E-2,3.045899868E0,-3.087100029E0,4.149300098E0,6.002031648E0
9.998593700E-2,3.228499889E0,-2.911099911E0,3.255299807E0,5.430901496E0
1.099968750E-1,4.067699909E0,-2.650899887E0,3.189999819E0,5.809436428E0
1.200078120E-1,3.885799885E0,-2.730299950E0,3.146699905E0,5.696990333E0
1.299875000E-1,4.026899815E0,-2.753199816E0,3.478699923E0,5.991442605E0
1.400000000E-1,3.257999897E0,-2.725600004E0,3.876499891E0,5.750713879E0
1.500109370E-1,2.968999863E0,-2.600399971E0,4.053899765E0,5.657839119E0
1.599890620E-1,2.383199930E0,-2.515899897E0,3.711699963E0,5.078002640E0
1.700015620E-1,1.699599981E0,-2.496599913E0,3.508899927E0,4.629690046E0
1.799812500E-1,5.112000108E-1,-3.053799868E0,3.094899893E0,4.377833303E0
1.899921870E-1,-1.223299980E0,-2.942299843E0,2.555699825E0,4.084751254E0
2.000031250E-1,-1.571399927E0,-2.407399893E0,2.427899837E0,3.762920355E0
2.099828120E-1,-5.823000073E-1,-1.984699965E0,3.449599981E0,4.022169474E0
2.199937500E-1,1.224200010E0,-1.414999962E0,4.298900127E0,4.688436079E0
2.300046870E-1,1.762300014E0,-3.904999793E-1,4.059799671E0,4.442990541E0
2.399843750E-1,1.585299969E0,1.617999971E-1,2.221400023E0,2.733856852E0
2.499968750E-1,1.730399966E0,2.861999869E-1,1.166100025E0,2.106177520E0
2.600078120E-1,1.837099910E0,-3.115999997E-1,8.603999615E-1,2.052393416E0
2.699875000E-1,1.898499966E0,-5.018999577E-1,6.432999969E-1,2.066407649E0
2.799984370E-1,1.602399945E0,-4.790999889E-1,5.242999792E-1,1.752744377E0
2.900093750E-1,1.135800004E0,7.580000162E-2,6.134999990E-1,1.293123945E0
2.999890620E-1,6.299999952E-1,3.560999930E-1,5.938999653E-1,9.361753937E-1
3.100000000E-1,4.716999829E-1,6.574999690E-1,4.642999768E-1,9.329424160E-1
3.199796870E-1,5.042999983E-1,5.683000088E-1,1.175999939E-1,7.688388302E-1
3.299906250E-1,9.395999908E-1,5.777999759E-1,-1.380999923E0,1.767444976E0
3.400031250E-1,1.425599933E0,8.208000064E-1,-1.783199906E0,2.426077024E0
3.499828120E-1,1.918399930E0,1.351099968E0,-2.347199917E0,3.318896935E0
3.599921870E-1,1.573899984E0,1.534899950E0,-2.812000036E0,3.569372945E0
3.700046870E-1,8.777999878E-1,1.395200014E0,-2.929499865E0,3.361411215E0
3.799843750E-1,6.556000113E-1,7.021999955E-1,-2.514600039E0,2.691859870E0
3.899953120E-1,9.853999615E-1,3.590999842E-1,-1.639899969E0,1.946596463E0
4.000062500E-1,1.235399961E0,2.124999911E-1,-9.194999933E-1,1.554621995E0
4.099859370E-1,1.373099923E0,4.003999829E-1,-3.457999825E-1,1.471496236E0
4.199968750E-1,1.282899976E0,6.132999659E-1,-2.642999887E-1,1.446313825E0
4.300078120E-1,1.320400000E0,8.152999878E-1,8.399999700E-3,1.551850763E0
4.399875000E-1,2.020999908E0,1.074399948E0,1.933299899E0,2.996068153E0
4.500000000E-1,2.181699991E0,7.537999749E-1,2.554800034E0,3.443113775E0
4.600109370E-1,1.249199986E0,6.631999612E-1,1.539999962E0,2.090917186E0
4.699890620E-1,1.189299941E0,6.597999930E-1,5.026000142E-1,1.449957639E0
4.800015620E-1,1.248799920E0,3.445999920E-1,-3.143999875E-1,1.333078297E0
4.899812500E-1,1.409199953E0,2.339999974E-1,-9.262999892E-1,1.702536982E0
4.999921870E-1,1.094699979E0,8.445000052E-1,-2.436699867E0,2.801616417E0
5.100031250E-1,3.341999948E-1,9.730999470E-1,-3.336400032E0,3.491443586E0
5.199828120E-1,2.660999894E-1,5.893999934E-1,-4.171999931E0,4.221822472E0
5.299937500E-1,1.600799918E0,6.051999927E-1,-4.737599850E0,5.037229372E0
5.400046870E-1,2.254600048E0,1.650999933E-1,-4.733200073E0,5.245346730E0
5.499843750E-1,2.276000023E0,-1.579999924E-2,-4.485300064E0,5.029745760E0
5.599968750E-1,2.388099909E0,2.962999940E-1,-4.199500084E0,4.840104939E0
5.700078120E-1,3.035599947E0,7.532999516E-1,-4.507800102E0,5.486582690E0
5.799875000E-1,3.112099886E0,1.182899952E0,-5.401199818E0,6.344870169E0
5.899984370E-1,5.906999707E-1,1.593699932E0,-6.796599865E0,7.005895778E0
6.000109370E-1,3.449999914E-2,1.135499954E0,-6.732800007E0,6.827967950E0
6.099890620E-1,1.038299918E0,2.080999911E-1,-5.466899872E0,5.568515649E0
6.200000000E-1,7.981999516E-1,-9.671999812E-1,-3.671199799E0,3.879472506E0
6.299796870E-1,-1.163299918E0,-1.803699970E0,-2.317899942E0,3.158996743E0
6.399906250E-1,-1.842299938E0,-1.143100023E0,-2.243499994E0,3.119942139E0
6.500031250E-1,-1.263000011E0,-6.832000017E-1,-1.425999999E0,2.023711261E0
6.599828120E-1,6.595999599E-1,-4.843999743E-1,-2.176999897E-1,8.468227251E-1
6.699921870E-1,3.214099884E0,-5.216999650E-1,6.234999895E-1,3.315322180E0
6.800046870E-1,5.219199657E0,-5.184000134E-1,1.137099981E0,5.366728986E0
6.899843750E-1,6.171799660E0,-6.038999557E-1,1.332899928E0,6.342903784E0
6.999953120E-1,5.575599670E0,-5.345000029E-1,1.185299993E0,5.725202006E0
7.100062500E-1,3.445199966E0,-1.915999949E-1,1.247599959E0,3.669144182E0
7.199859370E-1,1.342000008E0,6.852999926E-1,1.427899957E0,2.075933136E0
7.299968750E-1,-3.559999913E-2,1.357299924E0,1.253299952E0,1.847780077E0
7.400078120E-1,-5.572999716E-1,1.489899993E0,7.644000053E-1,1.764849176E0
7.499875000E-1,-8.542999625E-1,1.294700027E0,1.301999986E-1,1.556608051E0
7.600000000E-1,-9.250999689E-1,1.104699969E0,-3.535999954E-1,1.483645824E0
7.699796870E-1,-2.982999980E-1,1.130599976E0,-5.108000040E-1,1.275992099E0
7.799906250E-1,5.145999789E-1,9.488999844E-1,-2.210999876E-1,1.101866382E0
7.900015620E-1,2.491999865E-1,2.942000031E-1,1.151999980E-1,4.023994466E-1
7.999812500E-1,-9.612999558E-1,-1.561999917E-1,7.469999790E-1,1.227397658E0
8.099921870E-1,-1.758399963E0,1.597999930E-1,8.434999585E-1,1.956782729E0
8.200031250E-1,-1.906899929E0,4.066999853E-1,6.509999633E-1,2.055595575E0
8.299828120E-1,-1.816899896E0,4.606999755E-1,8.053999543E-1,2.040107542E0
8.399937500E-1,-1.535499930E0,3.878999949E-1,1.182899952E0,1.976734362E0
8.500062500E-1,-1.280599952E0,1.171000004E-1,1.506299973E0,1.980552512E0
8.599843750E-1,-1.172999978E0,-1.891999990E-1,1.779199958E0,2.139457426E0
8.699968750E-1,-1.054600000E0,-3.283999860E-1,1.930599928E0,2.224240048E0
8.800078120E-1,-1.036899924E0,-3.195999861E-1,1.582099915E0,1.918422723E0
8.899875000E-1,-1.711899996E0,-3.827999830E-1,1.593299985E0,2.369755739E0
