"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-5.349000096E-1,7.100000046E-3,-8.500000089E-2,5.416580383E-1
1.001093700E-2,-8.036999702E-1,-1.228000000E-1,-9.023000002E-1,1.214561144E0
2.002187500E-2,-8.873999715E-1,-1.147999987E-1,-1.394999981E0,1.657311889E0
3.000156200E-2,-3.870999813E-1,-1.621000022E-1,-1.394400001E0,1.456184799E0
4.001250000E-2,2.950000018E-2,-7.599999662E-3,-1.033299923E0,1.033748877E0
5.002500000E-2,8.634999990E-1,7.930000126E-2,-9.285999537E-1,1.270519033E0
6.000312500E-2,1.640799999E0,4.589999840E-2,-7.005000114E-1,1.784665715E0
7.001406200E-2,1.661899924E0,-1.769999973E-2,3.021999896E-1,1.689245240E0
8.002656200E-2,2.176499844E0,-5.920000002E-2,1.478999972E0,2.632127871E0
9.000625000E-2,2.529000044E0,-5.631999969E-1,1.136799932E0,2.829372641E0
1.000171870E-1,1.756899953E0,8.100000210E-3,1.736999899E-1,1.765484279E0
1.100281250E-1,2.023999929E0,9.129999578E-2,-6.399999857E-1,2.124737957E0
1.200078120E-1,1.760399938E0,1.075999960E-1,-2.947999835E-1,1.788153441E0
1.300187500E-1,1.866599917E0,-7.811999917E-1,4.849999771E-2,2.024060505E0
1.399984370E-1,2.377599955E0,-1.321299911E0,-1.271999925E-1,2.723048813E0
1.500109370E-1,2.789099932E0,-1.246899962E0,-5.702999830E-1,3.107906050E0
1.600203120E-1,2.549199820E0,-6.893999577E-1,-4.837999940E-1,2.684726142E0
1.700015620E-1,1.903299928E0,-1.506000012E-1,2.489999868E-2,1.909411162E0
1.800109370E-1,1.342199922E0,3.940999806E-1,4.296999872E-1,1.463371963E0
1.900234370E-1,7.500000000E-1,7.335000038E-1,1.043099999E0,1.479384962E0
2.000015620E-1,3.300999999E-1,6.067000031E-1,1.532699943E0,1.681136526E0
2.100140620E-1,3.797999918E-1,3.613999784E-1,1.830899954E0,1.904482244E0
2.200250000E-1,6.384999752E-1,1.631999910E-1,1.434299946E0,1.578458992E0
2.300046870E-1,7.981999516E-1,5.499999970E-2,7.922999859E-1,1.126005076E0
2.400156250E-1,9.333999753E-1,1.459999941E-2,9.749999642E-2,9.385919897E-1
2.500265620E-1,9.138999581E-1,5.079999939E-2,-3.561999798E-1,9.821772747E-1
2.600062500E-1,8.781999946E-1,1.788000017E-1,-4.721999764E-1,1.013004190E0
2.700187500E-1,7.611999512E-1,2.241999954E-1,-3.781999946E-1,8.790484853E-1
2.800281250E-1,6.157999635E-1,4.632999897E-1,-1.798999906E-1,7.913409392E-1
2.900078120E-1,8.759999871E-1,1.108799934E0,5.576999784E-1,1.519158497E0
3.000203120E-1,1.049399972E0,5.141000152E-1,5.885999799E-1,1.308429999E0
3.100000000E-1,3.237999976E-1,-7.939999551E-2,-1.344099998E0,1.384830532E0
3.200109370E-1,2.628999949E-1,1.682000011E-1,-1.122599959E0,1.165177376E0
3.300218750E-1,7.289999723E-1,9.030000120E-2,-1.680499911E0,1.834032443E0
3.400015620E-1,1.020699978E0,5.150000006E-2,-1.992899895E0,2.239672004E0
3.500125000E-1,7.135999799E-1,-8.599999547E-2,-2.090100050E0,2.210235089E0
3.600234370E-1,5.541999936E-1,-1.904999912E-1,-2.115599871E0,2.195265518E0
3.700031250E-1,3.957999945E-1,-6.208999753E-1,-2.079599857E0,2.206107427E0
