"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.335999906E-1,2.642000020E-1,8.940000087E-2,3.638172025E-1
9.995312000E-3,2.173999995E-1,6.149999797E-2,-2.823999822E-1,3.616555813E-1
1.999531200E-2,2.830999792E-1,-1.249999925E-2,-6.311999559E-1,6.918925007E-1
2.999687500E-2,2.840000018E-2,-4.869999737E-2,-5.065000057E-1,5.096278108E-1
3.999375000E-2,-2.082999945E-1,-9.969999641E-2,-1.856999993E-1,2.963333709E-1
4.999687500E-2,-2.538999915E-1,-1.415999979E-1,-1.563999951E-1,3.301162273E-1
5.999687500E-2,-2.132999897E-1,-1.023999974E-1,-3.143000007E-1,3.934045443E-1
6.999531200E-2,-2.305999994E-1,-7.259999961E-2,-3.583999872E-1,4.323166322E-1
8.000000000E-2,-2.490999997E-1,-2.454999983E-1,-2.129999995E-1,4.094997666E-1
8.999687500E-2,-1.442999989E-1,-1.290999949E-1,6.560000032E-2,2.044325277E-1
9.999531200E-2,-1.824999899E-1,-5.639999732E-2,3.309999779E-2,1.938628790E-1
1.099953120E-1,-1.467999965E-1,9.699999541E-2,-1.070999950E-1,2.059845796E-1
1.199968750E-1,-1.393999904E-1,2.658999860E-1,-2.022999972E-1,3.620227186E-1
1.299968750E-1,-2.190999985E-1,1.592999995E-1,-9.129999578E-2,2.858618344E-1
1.399953120E-1,-1.876000017E-1,2.199999988E-2,4.969999939E-2,1.953147474E-1
1.499968750E-1,5.399999768E-2,2.709999867E-2,-6.399999838E-3,6.075664305E-2
1.599968750E-1,3.439999744E-2,-2.199999988E-3,-1.189999953E-1,1.238918831E-1
1.699984370E-1,-1.046999991E-1,-1.241999939E-1,2.551999986E-1,3.025140783E-1
1.799984370E-1,-5.179999769E-2,-1.829999983E-1,2.534999847E-1,3.169139969E-1
1.899953120E-1,-1.139999926E-2,-1.429999918E-1,-1.730000041E-2,1.444930713E-1
1.999953120E-1,-1.009999961E-2,-7.389999926E-2,-1.279999968E-2,7.567734056E-2
2.099953120E-1,-9.699999541E-2,-1.130999997E-1,-5.599999800E-2,1.591747745E-1
2.199953120E-1,-1.938000023E-1,-1.815999895E-1,3.779999912E-2,2.682644908E-1
2.299984370E-1,-1.344999969E-1,-2.196999937E-1,1.206999943E-1,2.844764050E-1
2.399953120E-1,1.476999968E-1,-1.973999888E-1,3.909999877E-2,2.496214224E-1
2.499953120E-1,3.581999838E-1,-1.347000003E-1,-1.546999961E-1,4.127752503E-1
2.599953120E-1,1.287000030E-1,-1.621999890E-1,-1.499999911E-1,2.556805126E-1
2.699953120E-1,-1.090000011E-2,-1.999999881E-1,3.839999810E-2,2.039445147E-1
2.799984370E-1,6.499999668E-3,-2.177999914E-1,1.264999956E-1,2.519550260E-1
2.899968750E-1,1.986999959E-1,-4.895999730E-1,-1.164999977E-1,5.410749221E-1
2.999953120E-1,1.094999984E-1,-3.032999933E-1,-1.335999966E-1,3.490416804E-1
3.099968750E-1,2.419999987E-2,-2.175999880E-1,9.209999442E-2,2.375243224E-1
3.199968750E-1,9.200000204E-3,-2.906000018E-1,-1.420000009E-2,2.910921522E-1
3.300000000E-1,1.604999900E-1,-4.618999958E-1,-2.066999972E-1,5.308829831E-1
3.399953120E-1,5.162000060E-1,-8.076999784E-1,-3.869999945E-2,9.593432082E-1
3.499968750E-1,9.976999760E-1,-1.200199962E0,1.648000032E-1,1.569408880E0
3.599953120E-1,1.955999970E0,-1.775799990E0,-1.410000026E-1,2.645615711E0
3.699953120E-1,2.222399950E0,-1.766399980E0,-4.482999742E-1,2.874056940E0
3.799968750E-1,1.887199998E0,-1.513299942E0,-1.758999974E-1,2.425395093E0
3.901421870E-1,1.322499990E0,-1.211499929E0,-2.208999991E-1,1.807079166E0
4.001421870E-1,5.205999613E-1,-6.462000012E-1,-3.729999959E-1,9.097954486E-1
4.099937500E-1,2.251999974E-1,-4.870999753E-1,-3.059999831E-2,5.375107299E-1
4.199937500E-1,-1.899999976E-1,-5.787000060E-1,5.774999857E-1,8.393449407E-1
4.299968750E-1,-3.071999848E-1,-1.252300024E0,8.858000040E-1,1.564374900E0
4.400343750E-1,8.579999954E-2,-2.329200029E0,1.112900019E0,2.582843563E0
4.499937500E-1,2.483000010E-1,-2.930999994E0,1.242900014E0,3.193307737E0
4.599937500E-1,1.559000015E-1,-2.876999855E0,5.087999701E-1,2.925800811E0
4.699953120E-1,6.154999733E-1,-2.207399845E0,-2.109099865E0,3.114443214E0
4.799984370E-1,-1.518999934E-1,-4.143999815E-1,-3.139699936E0,3.170570397E0
4.900390620E-1,-1.811100006E0,8.646000028E-1,-1.794899940E0,2.692449107E0
4.999968750E-1,-3.065199852E0,1.160899997E0,5.303999782E-1,3.320310689E0
5.099953120E-1,-3.376999855E0,5.557000041E-1,9.761999846E-1,3.558917943E0
5.199953120E-1,-2.620899916E0,-5.152999759E-1,6.955999732E-1,2.760164806E0
5.300015620E-1,-1.083400011E0,-8.113999963E-1,6.638000011E-1,1.507566244E0
5.399937500E-1,2.339999937E-2,-7.624999881E-1,4.893999994E-1,9.063476988E-1
5.500390620E-1,2.673999965E-1,-4.522999823E-1,3.612999916E-1,6.376642660E-1
5.599953120E-1,2.375999987E-1,-1.463000029E-1,1.963000000E-1,3.411614577E-1
5.699968750E-1,7.617999911E-1,4.230999947E-1,-1.702999920E-1,8.878935292E-1
5.799968750E-1,7.319999933E-1,1.041599989E0,-9.774999619E-1,1.605073426E0
5.899968750E-1,2.639999986E-2,1.673499942E0,-2.547099829E0,3.047788797E0
5.999937500E-1,-5.867999792E-1,1.394199967E0,-2.596400023E0,3.004899473E0
6.100359370E-1,-4.672999978E-1,5.205999613E-1,-1.495299935E0,1.650852963E0
6.199968750E-1,-5.654999614E-1,1.182999983E-1,-6.061999798E-1,8.374147786E-1
6.300015620E-1,-7.009999454E-2,-6.291999817E-1,-2.309999987E-2,6.335141957E-1
6.399953120E-1,-2.459999919E-2,-5.498999953E-1,2.348999977E-1,5.984757086E-1
6.503093750E-1,-7.666999698E-1,-8.129999787E-2,6.699999794E-3,7.710275114E-1
6.599984370E-1,-1.340799928E0,1.604000032E-1,7.075999975E-1,1.524522995E0
6.699984370E-1,-1.049000025E0,-4.069999978E-2,1.105899930E0,1.524818742E0
6.799953120E-1,-1.733699918E0,1.115999967E-1,5.846999884E-1,1.833042291E0
6.900359370E-1,-2.786599874E0,6.484000087E-1,-5.304999948E-1,2.909809560E0
