"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,5.192999840E-1,-1.133499980E0,-2.490700006E0,2.785333230E0
9.995313000E-3,5.969999731E-2,5.059999973E-2,3.229999915E-2,8.466250407E-2
1.999531300E-2,-3.299999982E-3,3.925999999E-1,-7.572999597E-1,8.530233753E-1
2.999531300E-2,-1.898999959E-1,6.863999963E-1,-1.292999983E0,1.476162565E0
4.000000000E-2,-2.193000019E-1,5.324999690E-1,-1.151799917E0,1.287746775E0
4.999375000E-2,-3.051999807E-1,3.731999993E-1,-7.516999841E-1,8.930163122E-1
5.999531300E-2,-9.359999746E-2,-6.069999933E-2,-4.107999802E-1,4.256783682E-1
6.999531300E-2,1.098999977E-1,-3.023000062E-1,-4.250000045E-2,3.244526980E-1
7.999531300E-2,2.778999805E-1,-4.617999792E-1,2.743999958E-1,6.047999485E-1
9.000000000E-2,5.799999833E-2,-1.284999996E-1,5.974000096E-1,6.138102485E-1
9.999531300E-2,3.849999905E-1,-3.694999814E-1,8.788999915E-1,1.028212247E0
1.099937500E-1,3.543999791E-1,-1.304000020E-1,5.029999614E-1,6.289773182E-1
1.199953130E-1,4.961999953E-1,-1.638000011E-1,4.244000018E-1,6.731717739E-1
1.299953130E-1,2.736999989E-1,-2.009999938E-2,1.502999961E-1,3.128990064E-1
1.399968750E-1,1.982999891E-1,1.970000006E-2,-4.363999963E-1,4.797456956E-1
1.499953130E-1,-1.675999910E-1,2.669999935E-2,-8.959999681E-1,9.119312418E-1
1.599937500E-1,-6.125000119E-1,1.261999905E-1,-9.824000001E-1,1.164556766E0
1.699937500E-1,-3.515999913E-1,1.893000007E-1,-5.580999851E-1,6.862453188E-1
1.799953130E-1,-2.600000007E-3,3.278000057E-1,-3.132999837E-1,4.534495380E-1
1.900406250E-1,4.095000029E-1,3.567000031E-1,-6.793000102E-1,8.696974465E-1
1.999937500E-1,6.947999597E-1,6.116999984E-1,-6.452999711E-1,1.128421874E0
2.099937500E-1,6.707999706E-1,5.601999760E-1,-1.150999963E-1,8.815013459E-1
2.199921880E-1,5.264999866E-1,3.382000029E-1,4.765999913E-1,7.865933064E-1
2.299953130E-1,-1.957999915E-1,3.816999793E-1,5.066999793E-1,6.639106716E-1
2.399984380E-1,-1.006199956E0,3.448999822E-1,6.030000001E-2,1.065378073E0
2.499921880E-1,-1.691499949E0,-4.533999860E-1,-8.159999549E-2,1.753112142E0
2.599937500E-1,-1.037599921E0,-1.659899950E0,-7.501999736E-1,2.096349551E0
2.699968750E-1,2.850000001E-2,-2.513799906E0,-1.300699949E0,2.830516309E0
2.799953130E-1,-3.461000025E-1,-9.975000024E-1,-1.042099953E0,1.483497145E0
2.900093750E-1,-1.080399990E0,1.982000023E-1,-9.615999460E-1,1.459870486E0
