"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.826999933E-1,1.022999957E-1,6.030000001E-2,2.179005889E-1
1.001562500E-2,1.939999908E-1,1.123999953E-1,8.592000008E-1,8.879720698E-1
1.999843800E-2,-5.519999936E-2,2.970999777E-1,1.080399990E0,1.121864330E0
3.043593800E-2,2.951999903E-1,1.583999991E-1,1.041299939E0,1.093864323E0
4.043281300E-2,7.136999965E-1,3.299999982E-3,1.234499931E0,1.425962361E0
5.043281300E-2,5.249999762E-1,1.924999952E-1,1.374400020E0,1.483798045E0
6.042968800E-2,1.124999970E-1,1.466999948E-1,9.010999799E-1,9.198686382E-1
7.043125000E-2,1.213999987E-1,-5.509999767E-2,-3.958999813E-1,4.177448558E-1
8.042968800E-2,2.741999924E-1,-4.120000079E-2,-1.458099961E0,1.484229960E0
9.042968800E-2,2.345999926E-1,1.472000033E-1,-1.044499993E0,1.080594852E0
1.004328130E-1,-8.014000058E-1,7.181999683E-1,-1.303699970E0,1.690469395E0
1.104312500E-1,-1.982499957E0,1.198400021E0,-1.851199985E0,2.965368455E0
1.204328130E-1,-2.122699976E0,1.129199982E0,-2.693399906E0,3.610450227E0
1.304296880E-1,-1.470299959E0,6.665999889E-1,-3.286499977E0,3.661587035E0
1.404312500E-1,-4.858999848E-1,2.132999897E-1,-2.228699923E0,2.291003934E0
1.504328130E-1,-1.762000024E-1,1.437000036E-1,2.360999882E-1,3.277794019E-1
1.604296880E-1,-1.354999989E-1,2.219999880E-1,2.267999887E0,2.282863932E0
1.704328130E-1,-2.239999920E-2,-4.999999655E-4,2.198600054E0,2.198714217E0
1.804328130E-1,-9.759999812E-2,-3.224000037E-1,9.287999868E-1,9.879964259E-1
1.904328130E-1,3.802999854E-1,-4.879999757E-1,-4.960999787E-1,7.930241131E-1
2.004312500E-1,6.265000105E-1,-3.423999846E-1,-1.312600017E0,1.494208425E0
2.104437500E-1,2.014999986E-1,-2.594999969E-1,-1.036800027E0,1.087610589E0
2.204703130E-1,1.489999890E-1,-2.610000074E-1,-2.908999920E-1,4.182640385E-1
2.304687500E-1,4.291999936E-1,-2.960000001E-2,3.046999872E-1,5.271914991E-1
2.404687500E-1,3.193999827E-1,-5.059999973E-2,9.183999896E-1,9.736710172E-1
2.504687500E-1,1.014999971E-1,-1.950000040E-2,1.600499988E0,1.603833754E0
2.604671880E-1,-9.219999611E-2,-1.174999997E-1,2.037799835E0,2.043265831E0
2.704718750E-1,-9.562999606E-1,-3.985999823E-1,1.168699980E0,1.561810233E0
2.804671880E-1,-9.835000038E-1,-4.855999947E-1,2.886999846E-1,1.134207782E0
2.904671880E-1,-5.891999602E-1,-6.092000008E-1,-2.666999996E-1,8.884875485E-1
3.004671880E-1,2.779999934E-2,-5.709999800E-1,-7.647999525E-1,9.548469953E-1
3.104671880E-1,1.028999984E-1,-5.198000073E-1,-7.202000022E-1,8.941300244E-1
3.204734380E-1,-1.776999980E-1,-7.008000016E-1,-1.806999892E-1,7.452183691E-1
3.304703130E-1,6.229000092E-1,-1.872799993E0,4.138000011E-1,2.016584904E0
3.404671880E-1,1.828599930E0,-2.311300039E0,7.250999808E-1,3.035070931E0
3.504671880E-1,2.742599964E0,-2.148999929E0,5.191000104E-1,3.522714874E0
3.604687500E-1,2.534899950E0,-2.141700029E0,9.001999497E-1,3.438452664E0
3.704750000E-1,1.372099996E0,-2.793399811E0,1.235499978E0,3.348462497E0
3.804687500E-1,3.427000046E-1,-3.786599874E0,5.033999681E-1,3.835256632E0
3.904687500E-1,3.129999936E-1,-4.322099686E0,-1.136000007E-1,4.334907110E0
4.005093750E-1,-1.678999960E-1,-4.424099922E0,-6.528999805E-1,4.475168032E0
4.104687500E-1,-2.060799837E0,-3.862900019E0,-9.609999657E-1,4.482456186E0
4.204734380E-1,-3.665399790E0,-3.859200001E0,2.560999990E-1,5.328617783E0
4.304703130E-1,-3.484699965E0,-3.716199875E0,3.334999979E-1,5.105340106E0
4.405093750E-1,-3.467199802E0,-2.805500031E0,5.539000034E-1,4.494342010E0
4.504687500E-1,-3.081499815E0,-2.553400040E0,1.680199981E0,4.340341559E0
4.604687500E-1,-2.509999990E0,-2.477799892E0,1.917199969E0,4.014380149E0
4.704781250E-1,-1.142199993E0,-2.789899826E0,1.421399951E0,3.332947597E0
4.804687500E-1,-9.778999686E-1,-2.130499840E0,1.447199941E0,2.754942029E0
4.904687500E-1,3.373000026E-1,-2.847199917E0,2.336199999E0,3.698398179E0
5.005093750E-1,-1.222899914E0,-1.408599973E0,3.208000064E-1,1.892762723E0
5.104671880E-1,-9.666999578E-1,2.947999835E-1,-1.125900030E0,1.512966198E0
5.204703130E-1,1.383499980E0,6.351000071E-1,-1.981799960E0,2.498990855E0
5.304656250E-1,4.200599670E0,2.035699844E0,-2.944299936E0,5.518877926E0
5.405093750E-1,3.890399933E0,1.917899966E0,-1.019299984E0,4.455617171E0
5.504687500E-1,2.188099861E0,1.837000012E0,7.530000061E-2,2.857974832E0
5.604687500E-1,-1.759999990E-1,1.977699995E0,8.467999697E-1,2.158551241E0
5.705218750E-1,-1.487299919E0,8.894000053E-1,1.231400013E0,2.125897319E0
5.804687500E-1,-4.085700035E0,4.611999989E-1,7.315999866E-1,4.176229011E0
5.904687500E-1,-5.341599941E0,1.834899902E0,-1.027999967E-1,5.648903913E0
6.005109380E-1,-3.817399979E0,1.638799906E0,-8.409999609E-1,4.238571536E0
6.104671880E-1,-3.529899836E0,1.779299974E0,-1.473500013E0,4.218685048E0
