"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-9.562999606E-1,1.965999901E-1,-4.791999757E-1,1.087563234E0
9.996875000E-3,2.140000015E-1,1.304000020E-1,7.270000130E-2,2.609318903E-1
1.999531300E-2,3.887999952E-1,2.011999935E-1,5.527999997E-1,7.051487172E-1
2.999375000E-2,3.337000012E-1,2.275999933E-1,1.183399916E0,1.250437047E0
3.999531300E-2,1.771000028E-1,3.343999982E-1,1.319499969E0,1.372686395E0
4.999687500E-2,1.043999940E-1,4.138999879E-1,1.091499925E0,1.172000275E0
5.999843800E-2,-1.392000020E-1,3.283999860E-1,4.113999903E-1,5.444934742E-1
6.999687500E-2,-2.010999918E-1,2.764999866E-1,-1.933999956E-1,3.928065779E-1
7.999531300E-2,-3.563999832E-1,2.004999965E-1,-4.979999959E-1,6.443796960E-1
8.999531300E-2,-4.592999816E-1,1.188999936E-1,-8.294999599E-1,9.555960784E-1
9.999531300E-2,-3.953999877E-1,1.244999990E-1,-7.242000103E-1,8.344501513E-1
1.100000000E-1,1.219999939E-1,-6.650000066E-2,-5.899999756E-3,1.390721345E-1
1.199953130E-1,6.039999723E-1,-3.371999860E-1,8.461999893E-1,1.092965790E0
1.299953130E-1,3.702999949E-1,-1.099999994E-2,4.453999996E-1,5.793308605E-1
1.399953130E-1,1.533999890E-1,2.651999891E-1,-1.612999886E-1,3.462373134E-1
1.499953130E-1,-3.628999889E-1,6.360999942E-1,-1.344999969E-1,7.445870357E-1
1.599968750E-1,-9.223999977E-1,6.905999780E-1,6.036999822E-1,1.300847321E0
1.699937500E-1,-7.146999836E-1,1.982000023E-1,1.006399989E0,1.250168087E0
1.799921880E-1,-1.612999886E-1,-3.999999899E-4,5.974999666E-1,6.188893733E-1
1.899968750E-1,1.694999933E-1,-1.938999891E-1,-4.321999848E-1,5.031145798E-1
1.999937500E-1,-5.549999699E-2,-1.633999944E-1,-8.697999716E-1,8.867535161E-1
2.099984380E-1,-1.310400009E0,-1.290999949E-1,-1.678999901E0,2.133742173E0
2.200359380E-1,-2.379400015E0,-7.599999662E-3,-1.659500003E0,2.900955437E0
2.299968750E-1,-2.544999838E0,6.369999796E-2,-9.689999819E-1,2.723975556E0
2.399953130E-1,-2.054699898E0,-1.905999929E-1,-2.181999981E-1,2.075025606E0
2.499968750E-1,-1.084900022E0,-7.565000057E-1,-4.547999799E-1,1.398621942E0
2.600000000E-1,3.581999838E-1,-1.364399910E0,-8.343999982E-1,1.638937979E0
2.699968750E-1,1.652899981E0,-1.892699957E0,-1.046199918E0,2.721934191E0
2.799953130E-1,1.638499975E0,-1.888399959E0,-1.373499990E0,2.852584581E0
2.899953130E-1,1.447999924E-1,-1.297099948E0,-9.815999866E-1,1.633087213E0
2.999953130E-1,-9.300999641E-1,-1.219699979E0,-5.109999776E-1,1.616748267E0
3.100015630E-1,-7.716999650E-1,-1.599200010E0,-4.329999909E-2,1.776185913E0
3.199937500E-1,-4.184999764E-1,-2.320699930E0,1.349999942E-2,2.358171462E0
3.299937500E-1,-3.132999837E-1,-2.067999840E0,2.917999923E-1,2.111854032E0
3.399937500E-1,-5.898000002E-1,-4.636999965E-1,-1.275900006E0,1.480135991E0
3.499953130E-1,-4.529999942E-2,-2.484499931E0,-3.659999743E-2,2.485182399E0
3.600000000E-1,-9.861999750E-1,-2.428900003E0,-4.364999831E-1,2.657569915E0
3.699953130E-1,-1.945799947E0,-2.046200037E0,-5.633000135E-1,2.879301813E0
3.799937500E-1,-1.436100006E0,-2.554800034E0,7.207999825E-1,3.018101896E0
3.900375000E-1,-1.043300033E0,-2.709599972E0,2.464299917E0,3.808304222E0
3.999937500E-1,-1.010499954E0,-3.089399815E0,1.477599978E0,3.570546606E0
4.100125000E-1,-1.586000025E-1,-2.657399893E0,7.204999924E-1,2.757906523E0
4.199921880E-1,-2.356999964E-1,-2.553499937E0,9.867999554E-1,2.747670025E0
4.299953130E-1,-9.735999703E-1,-1.494599938E0,-7.637000084E-1,1.940351407E0
4.399953130E-1,-8.262000084E-1,-2.228999883E-1,-1.104900002E0,1.397531708E0
4.500375000E-1,-1.303399920E0,7.512999773E-1,-4.354999959E-1,1.566193875E0
4.599968750E-1,-1.814799905E0,2.320999861E0,2.588000000E-1,2.957620072E0
4.699953130E-1,-1.109899998E0,2.888499975E0,1.065899968E0,3.272835598E0
4.799953130E-1,-3.093999922E-1,3.182199955E0,9.405999780E-1,3.332694590E0
4.899953130E-1,-2.601000071E-1,3.346899986E0,2.590000033E-1,3.366967855E0
4.999953130E-1,-1.900999993E-1,2.144399881E0,3.797999918E-1,2.186055099E0
5.100125000E-1,4.787999988E-1,1.100899935E0,5.499999970E-2,1.201771653E0
5.200359380E-1,-4.129999876E-2,4.275999963E-1,-4.961999953E-1,6.563245250E-1
5.299953130E-1,-3.179000020E-1,-6.189999729E-2,-2.345599890E0,2.367853641E0
5.402796880E-1,-1.596499920E0,5.588999987E-1,-4.231100082E0,4.556686198E0
5.499968750E-1,-1.297799945E0,8.289999515E-2,1.348000020E-1,1.307412768E0
5.599984380E-1,-1.126199961E0,3.859999776E-1,2.553200006E0,2.817117784E0
5.699953130E-1,-1.233999953E-1,1.495999992E-1,2.306699991E0,2.314837482E0
5.799937500E-1,1.663199902E0,-1.462299943E0,4.066299915E0,4.630264575E0
5.899937500E-1,2.993000031E0,-5.706999898E-1,-1.553900003E0,3.420285497E0
6.000375000E-1,1.511600018E0,4.235000014E-1,-5.145799637E0,5.379920145E0
6.100125000E-1,2.240999937E-1,-2.960000001E-2,-9.049999714E-1,9.328032565E-1
6.199953130E-1,2.613999844E-1,1.604999900E-1,4.937999845E-1,5.813162850E-1
6.299953130E-1,-6.082999706E-1,-4.506999850E-1,3.878499985E0,3.951698554E0
6.399937500E-1,-4.700999856E-1,5.217999816E-1,3.014000058E-1,7.642716669E-1
6.500343750E-1,-1.181100011E0,1.130100012E0,-1.157999992E0,2.003269142E0
6.599953130E-1,-1.383899927E0,1.117100000E0,-4.125999808E-1,1.825740990E0
6.699968750E-1,-2.088299990E0,1.847599983E0,-8.957999945E-1,2.928665255E0
6.799953130E-1,-3.060199976E0,4.059599876E0,-2.454499960E0,5.645329495E0
6.899953130E-1,-2.465000004E-1,3.256299973E0,-2.388999939E0,4.046179985E0
6.999953130E-1,2.694000006E-1,1.495100021E0,-1.612499952E0,2.215413399E0
7.100093750E-1,-1.021700025E0,5.471999645E-1,-7.075999975E-1,1.357938326E0
7.199921880E-1,-2.364899874E0,7.856999636E-1,1.191599965E0,2.762242988E0
7.299953130E-1,-2.231600046E0,1.427500010E0,1.604599953E0,3.097181953E0
7.399953130E-1,-1.818799973E0,2.048099995E0,1.605799913E0,3.175112642E0
7.499953130E-1,-1.855199933E0,1.652199984E0,4.745000005E-1,2.529166232E0
7.599984380E-1,-2.117899895E0,7.663999796E-1,-1.107999921E0,2.510086197E0
7.700265630E-1,-1.876399994E0,3.233999908E-1,-1.746399999E0,2.583675182E0
7.799953130E-1,-1.126399994E0,-2.270999998E-1,-1.276399970E0,1.717424886E0
7.899937500E-1,-9.965999722E-1,-5.036000013E-1,-5.429999903E-2,1.117932447E0
7.999921880E-1,-3.823999763E-1,-2.815999985E-1,1.509999931E-1,4.983264983E-1
8.099984380E-1,-7.127999663E-1,5.340999961E-1,-9.824999571E-1,1.326142060E0
8.199953130E-1,-2.154000044E0,-1.319999993E-2,-1.060699940E0,2.401036191E0
