"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.488999963E-1,2.129999921E-2,-1.841000021E-1,3.103187214E-1
9.995313000E-3,6.269999593E-2,4.099999741E-2,2.379999869E-2,7.860489307E-2
1.999843800E-2,3.215000033E-1,8.190000057E-2,4.649999738E-2,3.350106148E-1
2.999531300E-2,4.132999778E-1,-1.026999950E-1,9.950000048E-2,4.373378679E-1
3.999531300E-2,1.620000005E-1,2.349999920E-2,-1.464999914E-1,2.196781682E-1
4.999531300E-2,3.513999879E-1,-4.669999704E-2,-4.699999839E-2,3.575917240E-1
5.999687500E-2,5.216999650E-1,-2.340999991E-1,2.461999953E-1,6.225657401E-1
6.999687500E-2,4.436999857E-1,-3.522999883E-1,-7.019999623E-2,5.708879037E-1
7.999531300E-2,5.256000161E-1,-4.289000034E-1,-2.739000022E-1,7.315953807E-1
8.999375000E-2,5.931999683E-1,-5.044000149E-1,-1.621000022E-1,7.953502299E-1
9.999531300E-2,8.194999695E-1,-8.136000037E-1,4.167999923E-1,1.227700045E0
1.099953130E-1,9.141999483E-1,-1.328899980E0,5.899999738E-1,1.717508856E0
1.199984380E-1,4.384000003E-1,-6.990000010E-1,-5.812000036E-1,1.009251706E0
1.299953130E-1,-8.482999802E-1,7.202000022E-1,-2.152099848E0,2.422774165E0
1.399953130E-1,-1.148000002E0,1.568499923E0,-1.789099932E0,2.641774892E0
1.499937500E-1,-1.154899955E0,1.404599905E0,-8.068000078E-1,1.989377051E0
1.599937500E-1,-1.158599973E0,1.159799933E0,-2.763999999E-1,1.662494133E0
1.699953130E-1,-1.148800015E0,9.792999625E-1,-2.428999990E-1,1.528976881E0
1.799953130E-1,-1.265799999E0,1.049999952E0,-4.619999826E-1,1.708272087E0
1.899953130E-1,-1.091799974E0,8.955000043E-1,-5.580999851E-1,1.518361958E0
1.999937500E-1,-5.536999702E-1,2.678999901E-1,-6.597999930E-1,9.020477219E-1
2.099968750E-1,-4.963999987E-1,-2.912999988E-1,-6.150999665E-1,8.423874505E-1
2.199968750E-1,-7.114999890E-1,-5.026000142E-1,-3.735999763E-1,9.478480632E-1
2.300359380E-1,-8.323000073E-1,-3.432999849E-1,-2.060000040E-2,9.005567955E-1
2.399953130E-1,-3.678999841E-1,-4.029999971E-1,4.732999802E-1,7.223380561E-1
2.499953130E-1,1.639000028E-1,-6.748999953E-1,8.145999908E-1,1.070479500E0
2.599937500E-1,4.704999924E-1,-8.678999543E-1,6.444000006E-1,1.178928299E0
2.699968750E-1,5.823999643E-1,-9.441999793E-1,3.735999763E-1,1.170589707E0
2.799453130E-1,3.157999814E-1,-5.532999635E-1,6.262999773E-1,8.933768182E-1
2.899937500E-1,3.149999976E-1,-4.069999754E-1,1.164099932E0,1.272793239E0
2.999953130E-1,4.816999733E-1,-2.904999852E-1,1.033800006E0,1.176931416E0
3.099953130E-1,9.334999919E-1,-3.902999759E-1,3.646000028E-1,1.075494987E0
3.200078130E-1,1.680199981E0,-1.069100022E0,-6.592000127E-1,2.097758682E0
3.299953130E-1,1.734200001E0,-1.299000025E0,-7.247999907E-1,2.284772578E0
3.399937500E-1,9.060999751E-1,-8.522999883E-1,-2.395000011E-1,1.266804123E0
3.499937500E-1,-7.843999863E-1,4.939999878E-1,1.623999923E-1,9.411126840E-1
3.599937500E-1,-2.761299849E0,1.821299911E0,6.753000021E-1,3.376083576E0
3.699968750E-1,-4.754199982E0,2.595099926E0,2.396999896E-1,5.421661846E0
3.799953130E-1,-4.948699951E0,2.601599932E0,-7.347999811E-1,5.638961289E0
3.900390630E-1,-3.253700018E0,1.643899918E0,-1.378099918E0,3.897195162E0
3.999937500E-1,-1.553399920E0,5.870000124E-1,-1.345399976E0,2.137222829E0
4.099968750E-1,-7.843999863E-1,-2.240900040E0,-8.112999797E-1,2.509008566E0
4.199984380E-1,1.887299895E0,-5.682499886E0,1.989399910E0,6.309549734E0
4.299953130E-1,1.470699906E0,-4.615699768E0,3.757499933E0,6.130778769E0
4.399953130E-1,4.999999655E-4,-3.141099930E0,1.743899941E0,3.592728215E0
4.499953130E-1,-8.287000060E-1,-4.215399742E0,-2.967000008E-1,4.306317403E0
4.599937500E-1,-9.009999633E-1,-4.959799767E0,-1.321799994E0,5.211388479E0
4.699968750E-1,1.838999987E-1,-4.716300011E0,-3.101799965E0,5.647872876E0
4.799953130E-1,8.603999615E-1,-5.069999695E0,-3.595899820E0,6.275004424E0
4.900359380E-1,8.780999780E-1,-4.295000076E0,-3.590999842E0,5.666865544E0
4.999953130E-1,1.357399940E0,-4.107999802E0,-2.670300007E0,5.084161592E0
5.099953130E-1,1.578400016E0,-3.432499886E0,-4.272999763E-1,3.802103016E0
5.200109380E-1,-2.059799910E0,-7.590999603E-1,1.766299963E0,2.817591875E0
5.300343750E-1,-4.291100025E0,4.949999973E-2,3.339999914E0,5.437976563E0
5.399953130E-1,-3.390100002E0,-9.864999652E-1,2.525499821E0,4.340980252E0
5.499953130E-1,1.216699958E0,-3.138399839E0,7.163000107E-1,3.441365724E0
5.599937500E-1,2.601199865E0,-2.927299976E0,6.859999895E-2,3.916635272E0
5.699953130E-1,7.574999928E-1,-9.948999882E-1,-1.000599980E0,1.601509459E0
5.800343750E-1,-8.489999771E-1,1.669999957E-2,-1.325799942E0,1.574428575E0
5.899937500E-1,-1.985899925E0,7.060999870E-1,-8.226000071E-1,2.262530989E0
5.999921880E-1,-2.151399851E0,7.167999744E-1,-6.456999779E-1,2.357806604E0
6.099921880E-1,-1.718699932E0,6.799999624E-3,-8.738999963E-1,1.928127823E0
6.200531250E-1,-1.069999933E0,-3.350999951E-1,-1.206099987E0,1.646775347E0
6.299937500E-1,-3.206999898E-1,-4.020999968E-1,-9.025999904E-1,1.038854963E0
6.399953130E-1,-7.558999658E-1,2.145999968E-1,-6.155999899E-1,9.981990104E-1
6.499937500E-1,-1.584499955E0,3.528299809E0,-1.069399953E0,4.012873771E0
6.600359380E-1,-2.819399834E0,8.143899918E0,-1.232499957E0,8.705812853E0
6.700109380E-1,-3.891599894E0,9.596899986E0,-1.274999976E-1,1.035670292E1
6.799953130E-1,2.676999867E-1,5.378699780E0,2.496199846E0,5.935746648E0
6.899953130E-1,1.078499913E0,4.197999954E0,2.187399864E0,4.855006060E0
6.999953130E-1,-4.020999968E-1,4.801599979E0,-8.381999731E-1,4.890769465E0
7.099968750E-1,-2.181900024E0,4.827199936E0,-3.450899839E0,6.322282550E0
7.199984380E-1,-3.608999968E0,3.962599993E0,-4.546499729E0,7.028352528E0
7.300359380E-1,-4.456099987E0,2.990399837E0,-4.457099915E0,6.976034542E0
7.399921880E-1,-3.580899954E0,1.022599936E0,-2.758199930E0,4.634244487E0
7.499953130E-1,-3.824999809E0,3.960999846E-1,-1.197999939E-1,3.847319947E0
7.599968750E-1,-3.546000004E0,1.131899953E0,1.565999985E0,4.038275558E0
7.700515630E-1,-2.804699898E0,1.850199938E0,1.342299938E0,3.618197127E0
7.799953130E-1,-2.679399967E0,1.952899933E0,9.530999660E-1,3.449840848E0
7.899937500E-1,-1.966399908E0,1.597800016E0,1.284600019E0,2.840755305E0
7.999953130E-1,-1.289899945E0,1.480199933E0,1.754999995E0,2.633411987E0
8.099953130E-1,-8.108999729E-1,1.470899940E0,2.249199867E0,2.807134739E0
8.199968750E-1,-8.685999513E-1,1.333400011E0,2.352799892E0,2.840438135E0
