"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.850000024E-2,1.929000020E-1,8.219999820E-2,2.104982197E-1
9.992187000E-3,9.030000120E-2,1.122999936E-1,2.309999987E-2,1.459417308E-1
1.999375000E-2,2.340999991E-1,-4.989999905E-2,-3.680000082E-2,2.421715498E-1
2.999531200E-2,2.448999882E-1,-1.812999994E-1,-5.799999833E-2,3.101768750E-1
3.999062500E-2,3.949999809E-1,-3.507999778E-1,-9.369999915E-2,5.365307998E-1
4.999062500E-2,5.501999855E-1,-5.406999588E-1,-1.679999940E-2,7.715949128E-1
5.999062500E-2,4.930999875E-1,-4.838999808E-1,1.143999994E-1,7.002814784E-1
6.999531200E-2,4.587000012E-1,-4.470999837E-1,-1.850000024E-2,6.408169291E-1
7.999531200E-2,2.739999890E-1,-3.925999999E-1,-2.177999914E-1,5.259729938E-1
8.999375000E-2,9.589999914E-2,-3.416999876E-1,-1.300999969E-1,3.779969584E-1
9.999375000E-2,-1.471000016E-1,-1.207999960E-1,1.415999979E-1,2.372374525E-1
1.099906250E-1,-8.779999614E-2,1.103999987E-1,9.510000050E-2,1.701205723E-1
1.199921870E-1,-1.389999986E-1,1.705999970E-1,1.399999950E-2,2.205025138E-1
1.299968750E-1,3.370000049E-2,1.186999977E-1,-5.309999734E-2,1.343316389E-1
1.399953120E-1,1.841000021E-1,1.484999955E-1,5.570000038E-2,2.429970153E-1
1.499937500E-1,1.491999924E-1,1.601999998E-1,1.709999889E-1,2.777871017E-1
1.599937500E-1,1.620000005E-1,1.322000027E-1,6.209999695E-2,2.181220999E-1
1.699937500E-1,1.436000019E-1,4.529999942E-2,1.279999968E-2,1.511187960E-1
1.799968750E-1,5.539999902E-2,-1.287000030E-1,2.039999887E-2,1.415945289E-1
1.899937500E-1,2.309999987E-2,-2.717999816E-1,-3.329999745E-2,2.748048941E-1
1.999937500E-1,2.699999837E-3,-3.076999784E-1,-1.058999971E-1,3.254249162E-1
2.099937500E-1,3.859999776E-2,-2.879000008E-1,-2.032999992E-1,3.545521964E-1
2.199937500E-1,2.699999884E-2,-2.773000002E-1,-2.809999883E-2,2.800248203E-1
2.299953120E-1,-8.929999918E-2,-9.059999883E-2,1.960000023E-2,1.287128962E-1
2.399937500E-1,-2.409999967E-1,9.369999915E-2,-1.445000023E-1,2.962109702E-1
2.499921870E-1,-2.603999972E-1,4.217999876E-1,-2.531000078E-1,5.565815322E-1
2.599937500E-1,-3.249999881E-2,5.015999675E-1,-9.070000052E-2,5.107692898E-1
2.699937500E-1,1.075999960E-1,3.122999966E-1,-6.399999838E-3,3.303785814E-1
2.799968750E-1,1.263999939E-1,-5.119999871E-2,-4.369999841E-2,1.432064530E-1
2.899937500E-1,3.729999810E-2,-6.169999838E-1,2.819999866E-2,6.187693510E-1
2.999937500E-1,-1.384000033E-1,-6.615999937E-1,2.431999892E-1,7.183420824E-1
3.099921870E-1,-1.083000004E-1,-2.755999863E-1,1.464999914E-1,3.303732587E-1
3.199921870E-1,-4.999999655E-4,-2.829999849E-2,1.409999933E-2,3.162198437E-2
3.299953120E-1,5.689999834E-2,6.149999797E-2,-1.850000024E-2,8.580273638E-2
3.399953120E-1,-2.078000009E-1,2.296999991E-1,7.599999756E-2,3.189340521E-1
3.499937500E-1,-4.000999928E-1,3.892000020E-1,3.727999926E-1,6.712201429E-1
3.599906250E-1,-1.744999886E-1,1.660999954E-1,2.100999951E-1,3.196583527E-1
3.699937500E-1,1.585000008E-1,-3.445000052E-1,-5.690999627E-1,6.838693380E-1
3.799953120E-1,2.638999820E-1,-5.975999832E-1,-3.140999973E-1,7.248639519E-1
3.899921870E-1,1.955000013E-1,-6.236000061E-1,-1.459999941E-2,6.536898180E-1
3.999937500E-1,8.009999990E-2,-4.931999743E-1,2.049999870E-2,5.000824678E-1
4.099921870E-1,2.459999919E-2,-7.163999677E-1,-1.688999981E-1,7.364518199E-1
4.199921870E-1,-3.070000000E-2,-9.293999672E-1,-3.102999926E-1,9.803126412E-1
4.299953120E-1,-1.826999933E-1,-3.066000044E-1,3.763999939E-1,5.187097509E-1
4.399937500E-1,-2.909999900E-2,4.035999775E-1,4.954999983E-1,6.397343199E-1
4.499937500E-1,2.416999936E-1,7.886999846E-1,3.631999791E-1,9.013216836E-1
