"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.905186176E-1,3.087949753E-1,-1.179685593E-1,3.815340894E-1
4.825833000E-3,1.967899799E-1,2.981066704E-1,-6.233501434E-2,3.626010716E-1
9.650833000E-3,2.077043056E-1,2.774028778E-1,-7.276535034E-4,3.465457613E-1
1.447661500E-2,2.165131569E-1,2.741746902E-1,-5.705833435E-3,3.494027253E-1
1.930317700E-2,1.959629059E-1,2.464985847E-1,1.247215271E-2,3.151484846E-1
2.412895800E-2,1.725904942E-1,2.022218704E-1,5.498790741E-2,2.714863413E-1
2.895401100E-2,1.463859081E-1,1.213798523E-1,7.058811188E-2,2.028412783E-1
3.377979200E-2,1.012682915E-1,3.050851822E-2,1.039400101E-1,1.482887799E-1
3.860635400E-2,7.024812698E-2,-6.102657318E-2,1.703290939E-1,1.940902940E-1
4.343213600E-2,6.873559952E-2,-1.485247612E-1,1.672992706E-1,2.340368204E-1
4.825713600E-2,8.162236214E-2,-2.300095558E-1,1.987619400E-1,3.147585020E-1
5.308296900E-2,7.614684105E-2,-2.895550728E-1,2.703027725E-1,4.033659262E-1
5.790953100E-2,7.161164284E-2,-3.763875961E-1,3.458929062E-1,5.161760867E-1
6.273531300E-2,4.743695259E-2,-4.572377205E-1,4.115409851E-1,6.169947973E-1
6.756031300E-2,2.527642250E-2,-5.577573776E-1,4.999713898E-1,7.494688655E-1
7.238614600E-2,7.621526718E-3,-6.750154495E-1,5.247411728E-1,8.550188555E-1
7.721270800E-2,-3.809690475E-2,-7.854444981E-1,5.249395370E-1,9.454818619E-1
8.203849000E-2,-9.472560883E-2,-8.869576454E-1,5.035181046E-1,1.024303318E0
8.686349000E-2,-1.363756657E-1,-9.546303749E-1,3.356857300E-1,1.021079029E0
9.168927100E-2,-1.779351234E-1,-9.825630188E-1,1.440801620E-1,1.008885567E0
9.651588600E-2,-2.179144621E-1,-9.695663452E-1,-8.470058441E-2,9.973564055E-1
1.013416670E-1,-2.595345974E-1,-9.075813293E-1,-3.310575485E-1,1.000330534E0
1.061666670E-1,-2.965716124E-1,-8.444738388E-1,-4.734363556E-1,1.012537786E0
1.109924480E-1,-3.132616282E-1,-7.826049328E-1,-5.775156021E-1,1.021825621E0
1.158190630E-1,-2.960528135E-1,-7.498278618E-1,-5.860414505E-1,9.966612626E-1
1.206448440E-1,-3.222689629E-1,-7.452621460E-1,-5.295448303E-1,9.693764377E-1
