"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.009668350E-1,-1.790469170E0,1.308441639E0,2.226698686E0
4.825833000E-3,8.155300617E-1,-1.412921906E0,1.657920361E0,2.325970231E0
9.650833000E-3,1.648987770E0,-8.895359039E-1,1.430244923E0,2.357124377E0
1.447671900E-2,2.587226868E0,-6.097526550E-1,1.084249496E0,2.870738256E0
1.930333300E-2,3.073161840E0,-2.768335342E-1,8.042416573E-1,3.188693329E0
2.412916600E-2,3.218512774E0,-4.685878754E-2,7.737431526E-1,3.310543563E0
2.895421900E-2,3.026722193E0,1.629438400E-1,6.911902428E-1,3.108913295E0
3.378005200E-2,2.567662239E0,2.388067245E-1,6.896500587E-1,2.669369819E0
3.860666600E-2,1.810525417E0,-3.474092484E-2,7.712640762E-1,1.968262557E0
4.343250000E-2,8.435826302E-1,-1.018510818E0,8.230862617E-1,1.557712084E0
4.825755200E-2,1.005206108E-1,-1.317993402E0,7.449655533E-1,1.517295185E0
5.308338500E-2,-3.540420532E-1,-1.647648811E0,7.169542313E-1,1.831424514E0
5.791000000E-2,-7.775065899E-1,-1.939550638E0,8.048310280E-1,2.239224455E0
6.273583300E-2,-1.234034300E0,-2.084609270E0,8.942031860E-1,2.582254015E0
6.756088500E-2,-1.829889297E0,-2.000806570E0,9.247241020E-1,2.864757658E0
7.238671900E-2,-2.347380161E0,-1.761500120E0,8.674163818E-1,3.060308395E0
7.721338500E-2,-2.684542656E0,-1.356528997E0,9.399595261E-1,3.151263890E0
8.203916600E-2,-2.760714293E0,-8.965494633E-1,1.073031425E0,3.094630961E0
8.686421900E-2,-2.407338142E0,-5.051200390E-1,1.053564072E0,2.675896194E0
9.169010400E-2,-1.726432800E0,-2.119297981E-1,9.447088242E-1,1.979383544E0
9.651671900E-2,-1.010434389E0,2.928595543E-1,5.648155212E-1,1.194052321E0
1.013425520E-1,-8.064272404E-1,6.003801823E-1,-1.143856525E0,1.522888377E0
1.061676040E-1,-7.476439476E-1,9.082581997E-1,-1.107997417E0,1.616033015E0
1.109934370E-1,-6.442594528E-1,1.227226973E0,4.473810196E-1,1.456470412E0
1.158200520E-1,-6.061544418E-1,1.326424122E0,1.121078491E0,1.839467625E0
1.206458850E-1,-3.073704243E-1,1.303573370E0,1.153089523E0,1.767313090E0
1.254709370E-1,4.532599449E-2,1.184895277E0,1.091237068E0,1.611468151E0
1.302967710E-1,2.742943764E-1,9.450209141E-1,9.097766876E-1,1.340147587E0
1.351233850E-1,2.482316494E-1,5.920832157E-1,6.790885925E-1,9.345281176E-1
1.399492190E-1,1.652550697E-1,1.509759426E-1,5.255928040E-1,5.712711868E-1
1.447742710E-1,1.404619217E-1,-2.506055832E-1,5.210285187E-1,5.949818712E-1
1.496001040E-1,1.386275291E-1,-6.822255850E-1,5.532608032E-1,8.892394824E-1
1.544267710E-1,2.070436478E-1,-1.141451955E0,5.970106125E-1,1.304684371E0
1.592526040E-1,2.068972588E-1,-1.595272660E0,8.338623047E-1,1.811912713E0
1.640776560E-1,-1.583242416E-2,-1.886515617E0,9.863195419E-1,2.128853701E0
1.689034890E-1,-3.752505779E-1,-1.896202445E0,6.883516312E-1,2.051883203E0
1.737301040E-1,-6.428880692E-1,-1.672294617E0,-2.532596588E-1,1.809423889E0
1.785559370E-1,-7.997999191E-1,-1.363562226E0,-1.096703053E0,1.923990499E0
1.833809890E-1,-8.472435474E-1,-1.060426354E0,-1.410144806E0,1.957251659E0
1.882068230E-1,-7.362594604E-1,-7.421262264E-1,-1.289730072E0,1.660190648E0
1.930334370E-1,-5.360605717E-1,-4.528450966E-1,-8.068833351E-1,1.069341075E0
1.978592710E-1,-3.280487061E-1,-2.058248520E-1,-1.751947403E-1,4.250564907E-1
2.026843230E-1,-2.629871368E-1,1.684987545E-2,4.213542938E-1,4.969764515E-1
2.075102080E-1,-2.949066162E-1,1.580675840E-1,7.856845856E-1,8.539646020E-1
2.123368230E-1,-3.585155010E-1,2.209938765E-1,8.677501678E-1,9.645527522E-1
2.171626560E-1,-3.583843708E-1,1.881425381E-1,5.999698639E-1,7.237408441E-1
2.219877080E-1,-2.829761505E-1,1.149536371E-1,3.549003601E-1,4.682350970E-1
2.268135410E-1,-1.282715797E-1,4.010677338E-3,2.402486801E-1,2.723767832E-1
2.316401560E-1,4.645919800E-2,-1.066883802E-1,1.675748825E-1,2.040152171E-1
2.364659890E-1,1.649422646E-1,-1.917991638E-1,1.284217834E-1,2.836988268E-1
2.412910410E-1,2.009658813E-1,-2.264859676E-1,1.371479034E-1,3.324044621E-1
2.461168750E-1,2.276353836E-1,-1.514070034E-1,2.055854797E-1,3.420633538E-1
2.509435410E-1,2.459545135E-1,2.132952213E-2,3.643064499E-1,4.400769940E-1
2.557693750E-1,1.579728127E-1,2.707740068E-1,5.229511261E-1,6.097145665E-1
2.605944270E-1,-1.714849472E-2,5.261591673E-1,6.042013168E-1,8.013718060E-1
2.654202600E-1,-1.788330078E-1,7.393661737E-1,6.785516739E-1,1.019350753E0
2.702468750E-1,-2.170157433E-1,8.607804775E-1,7.712163925E-1,1.175930945E0
2.750727080E-1,-1.963691711E-1,9.246249199E-1,8.840103149E-1,1.294204903E0
2.798977600E-1,-7.996273041E-2,8.888936043E-1,1.016988754E0,1.353067627E0
2.847235940E-1,3.729343414E-3,7.812600136E-1,1.103905678E0,1.352401147E0
2.895502080E-1,-6.510734558E-2,6.247237921E-1,1.010956764E0,1.190190053E0
2.943760940E-1,-3.326358795E-1,4.377417564E-1,7.932252884E-1,9.651273656E-1
2.992011460E-1,-7.347512245E-1,2.879943848E-1,4.064521790E-1,8.876956130E-1
3.040269790E-1,-1.104563713E0,1.125743389E-1,4.802989960E-2,1.111323917E0
3.088535940E-1,-1.416328430E0,3.149926662E-2,-2.718257904E-1,1.442521295E0
3.136794270E-1,-1.774751067E0,6.734967232E-3,-5.666561127E-1,1.863031363E0
3.185044790E-1,-2.133981228E0,-1.324117184E-2,-8.406562805E-1,2.293633404E0
3.233303120E-1,-2.368369818E0,-2.475798130E-2,-1.102839470E0,2.612669793E0
3.281569270E-1,-2.419595957E0,-3.399014473E-3,-1.326846123E0,2.759524738E0
3.329828120E-1,-2.383312464E0,-4.101765156E-2,-1.479794025E0,2.805646290E0
3.378078640E-1,-2.022561550E0,-7.972753048E-2,-1.477195263E0,2.505836696E0
3.426336980E-1,-1.500451803E0,-1.755285263E-2,-9.563293457E-1,1.779390214E0
3.474603120E-1,-1.147633791E0,1.254061460E-1,-4.327249527E-1,1.232899389E0
3.522861460E-1,-1.181075931E0,2.215993404E-1,-4.799337387E-1,1.293979527E0
3.571111980E-1,-1.543311238E0,2.085134983E-1,-1.126978874E0,1.922334217E0
3.619370310E-1,-1.998435259E0,4.148483276E-2,-1.817213058E0,2.701430690E0
3.667636460E-1,-2.166718245E0,-1.830077171E-1,-2.189710140E0,3.085934263E0
3.715895310E-1,-2.146443367E0,-4.117523432E-1,-2.219094276E0,3.114665075E0
3.764145830E-1,-2.137105942E0,-6.323785782E-1,-2.102916241E0,3.064209717E0
3.812404160E-1,-1.635217786E0,-5.344064236E-1,-1.856664181E0,2.531151776E0
3.860670310E-1,8.056285381E-1,5.269960165E-1,-1.384670734E0,1.686438610E0
3.908928640E-1,4.327454567E0,2.312184811E0,-1.471619129E0,5.122374888E0
3.957179160E-1,5.298860073E0,3.127066612E0,-1.813642502E0,6.414496301E0
4.005437500E-1,3.966989517E0,2.826701403E0,-1.867953777E0,5.216943354E0
4.053704160E-1,2.463255882E0,2.159933805E0,-1.445655346E0,3.580902535E0
4.101962500E-1,1.031489968E0,1.207986116E0,-5.807113647E-1,1.691279900E0
4.150213020E-1,-4.690989554E-1,1.506438255E-1,6.987285614E-2,4.976239626E-1
4.198471350E-1,-1.404641867E0,-3.188155890E-1,4.176206589E-1,1.499689691E0
4.246737500E-1,-1.514252663E0,-2.163412571E-1,4.418640137E-1,1.592170993E0
4.294995830E-1,-1.020543814E0,2.351090908E-1,2.815036774E-1,1.084449298E0
4.343246350E-1,-4.411428571E-1,7.028341293E-1,-1.225233078E-1,8.388055762E-1
4.391504690E-1,-1.169815660E-3,1.044416666E0,-7.053031921E-1,1.260261931E0
4.439771350E-1,2.540310919E-1,1.109510422E0,-1.407431602E0,1.810085326E0
4.488029690E-1,4.822313786E-1,9.461383820E-1,-2.023353577E0,2.285100575E0
4.536280210E-1,6.314331889E-1,6.801002026E-1,-2.520581245E0,2.685995900E0
4.584538540E-1,8.075804114E-1,4.311177731E-1,-2.762794495E0,2.910512339E0
4.632804690E-1,1.005298376E0,2.156023979E-1,-2.897365570E0,3.074383916E0
4.681063020E-1,1.217930436E0,1.161754131E-1,-2.766693115E0,3.025135050E0
4.729313540E-1,1.537471294E0,1.068463326E-1,-1.882286072E0,2.432742275E0
4.777572390E-1,1.760013700E0,9.698390961E-3,-3.603019714E-1,1.796541063E0
4.825838540E-1,1.825039625E0,-6.445407867E-2,6.141138077E-1,1.926670634E0
4.874096870E-1,1.618383408E0,-2.038335800E-1,7.826232910E-1,1.809202089E0
4.922347390E-1,1.460429668E0,-3.718631268E-1,7.953195572E-1,1.704015904E0
4.970605730E-1,1.429524779E0,-6.013883352E-1,8.194065094E-1,1.754034222E0
5.018871870E-1,1.488966107E0,-1.137072682E0,6.908025742E-1,1.996788058E0
5.067130730E-1,1.437226892E0,-1.731886506E0,3.317003250E-1,2.274879582E0
5.115381250E-1,1.248136997E0,-2.049681425E0,-2.260780334E-1,2.410425520E0
5.163639580E-1,1.169504285E0,-2.366378307E0,-5.544843674E-1,2.697209573E0
5.211905730E-1,1.313305974E0,-2.749161243E0,-3.328924179E-1,3.064878054E0
5.260164060E-1,1.454238415E0,-3.032234192E0,-6.607532501E-2,3.363572433E0
5.308414580E-1,1.367207766E0,-3.029880047E0,-2.566137314E-1,3.333958725E0
5.356673440E-1,1.137758613E0,-2.850130081E0,-6.720805168E-1,3.141564636E0
5.404939580E-1,9.886057377E-1,-2.497104406E0,-1.063128471E0,2.888444887E0
5.453197910E-1,1.200976372E0,-1.956925154E0,-1.106566429E0,2.548801594E0
5.501448440E-1,1.717548370E0,-1.202135801E0,-9.468102455E-1,2.300337482E0
5.549706770E-1,1.988653183E0,-7.658761740E-1,-6.530275345E-1,2.228845611E0
5.597972910E-1,2.054022789E0,-6.636050940E-1,-4.336638451E-1,2.201691547E0
5.646231770E-1,2.098131180E0,-7.843607664E-1,-4.075164795E-1,2.276718239E0
5.694482290E-1,2.106134892E0,-1.176541328E0,-3.815021515E-1,2.442457281E0
5.742740620E-1,1.727782249E0,-1.790702820E0,-6.177711487E-2,2.489109178E0
5.791006770E-1,1.129356623E0,-2.115257502E0,3.701453209E-1,2.426266316E0
5.839265100E-1,7.058508396E-1,-1.871367931E0,5.427608490E-1,2.072397810E0
5.887515620E-1,4.576301575E-1,-1.354212523E0,3.185310364E-1,1.464506380E0
5.935774480E-1,2.246208191E-1,-8.698350191E-1,-1.698794365E-1,9.142901595E-1
5.984040620E-1,2.048578262E-1,-5.542656183E-1,-5.541167259E-1,8.100755832E-1
6.032298960E-1,3.769373894E-1,-4.035825729E-1,-5.818014145E-1,8.021555800E-1
6.080549480E-1,7.284407616E-1,-5.035002232E-1,-3.235392570E-1,9.427704220E-1
6.128807810E-1,1.051960945E0,-7.753108740E-1,-1.401882172E-1,1.314298869E0
6.177073960E-1,1.265327454E0,-9.941143990E-1,8.125114441E-2,1.611185511E0
6.225332290E-1,1.278912544E0,-8.780406713E-1,-4.158020020E-2,1.551870365E0
6.273583330E-1,1.282186508E0,-5.495021343E-1,-4.427061081E-1,1.463538020E0
6.321841660E-1,1.206271172E0,-2.257525921E-1,-1.189540386E0,1.709111086E0
6.370107810E-1,8.935542107E-1,-2.242469788E-2,-2.046297550E0,2.232997013E0
6.418366140E-1,7.552495003E-1,1.262028217E-1,-2.456393003E0,2.572974067E0
6.466616660E-1,5.773253441E-1,1.999688148E-1,-2.356563807E0,2.434478395E0
6.514875520E-1,4.102768898E-1,1.994550228E-1,-2.216887951E0,2.263338600E0
6.563141660E-1,4.057650566E-1,5.628943443E-2,-2.207470179E0,2.245158874E0
6.611400000E-1,3.795061111E-1,-2.476418018E-1,-2.311254501E0,2.355259799E0
6.659650520E-1,2.785687447E-1,-5.517463684E-1,-2.252782583E0,2.336033811E0
6.707908850E-1,1.257085800E-2,-7.139500380E-1,-1.909842730E0,2.038965898E0
6.756175000E-1,-4.127779007E-1,-6.487156153E-1,-1.521612644E0,1.704852657E0
6.804433850E-1,-8.843836784E-1,-4.167133570E-1,-1.187011719E0,1.537784554E0
6.852684370E-1,-9.471988678E-1,-1.832835674E-1,-8.684496880E-1,1.298069113E0
6.900942710E-1,-7.789807320E-1,-1.145949364E-1,-4.783368111E-1,9.212757921E-1
6.949208850E-1,-5.038990974E-1,-2.394691706E-1,-7.729005814E-2,5.632348863E-1
6.997467190E-1,-3.052248955E-1,-4.788172245E-1,2.546710968E-1,6.223226967E-1
7.045718230E-1,-2.919907570E-1,-6.345692873E-1,3.870711327E-1,7.985993015E-1
