"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.527999878E-1,-1.377999932E-1,2.327999920E-1,3.702600548E-1
9.978125000E-3,-7.881000042E-1,1.282999963E-1,8.519999683E-2,8.030078114E-1
1.999062500E-2,-1.343400002E0,7.087999582E-1,1.032999977E-1,1.522429583E0
3.000156200E-2,-1.085099936E0,8.374999762E-1,-7.360000163E-2,1.372685339E0
3.998125000E-2,1.440500021E0,-6.261999607E-1,-1.169999987E-1,1.575073237E0
4.999218700E-2,2.771100044E0,-1.497499943E0,-2.426999956E-1,3.159177871E0
5.997187500E-2,2.004400015E0,-1.215600014E0,6.128999591E-1,2.423004163E0
6.998281200E-2,-1.838599920E0,-3.685999811E-1,4.803299904E0,5.156355843E0
7.999375000E-2,-2.784399986E0,-5.999999703E-4,8.040599823E0,8.509061591E0
8.997343700E-2,-9.140999913E-1,-1.454299927E0,8.127699852E0,8.307230101E0
9.998437500E-2,9.833999872E-1,-4.028800011E0,6.940199852E0,8.084842549E0
1.099968750E-1,4.560999870E-1,-3.898399830E0,2.712199926E0,4.770909439E0
1.199765620E-1,3.479000032E-1,-2.266999960E0,3.761000037E-1,2.324171776E0
1.299875000E-1,1.400200009E0,-1.268599987E0,2.909999900E-2,1.889643565E0
1.399984370E-1,1.773899913E0,-1.292500019E0,-7.850999832E-1,2.331021060E0
1.499781250E-1,6.366999745E-1,-9.709999710E-2,5.442000031E-1,8.431897239E-1
1.599890620E-1,1.078299999E0,-6.614999771E-1,-1.560599923E0,2.008926387E0
1.700000000E-1,2.354799986E0,-2.223799944E0,-3.708400011E0,4.923677468E0
1.799796870E-1,2.932299852E0,-1.691599965E0,-4.033400059E0,5.265758151E0
1.899906250E-1,2.009299994E0,-1.702999920E-1,-1.743999958E0,2.666050338E0
2.000015620E-1,1.532899976E0,3.152999878E-1,4.759999737E-2,1.565714590E0
2.099812500E-1,1.299000025E0,-5.403999686E-1,1.996999979E-1,1.421025432E0
2.199937500E-1,5.597000122E-1,-1.602100015E0,-1.013000011E-1,1.700073602E0
2.299734370E-1,7.299999893E-2,-1.736199975E0,-4.799999893E-1,1.802808737E0
2.399843750E-1,5.378999710E-1,-8.466999531E-1,-3.296999931E-1,1.055906850E0
2.499953120E-1,1.986699939E0,-6.109999865E-2,3.734999895E-1,2.022427279E0
2.599750000E-1,2.953899860E0,3.100999892E-1,1.305599928E0,3.244422531E0
2.699859370E-1,3.079900026E0,1.202999949E-1,6.417999864E-1,3.148358856E0
2.799968750E-1,3.272099972E0,-6.344999671E-1,8.510999680E-1,3.439999940E0
2.899765620E-1,4.207699776E0,-1.317699909E0,5.665000081E-1,4.445446289E0
2.999890620E-1,4.438299656E0,-1.537099957E0,4.657000005E-1,4.719963623E0
3.100000000E-1,4.018799782E0,-1.464599967E0,-5.340999961E-1,4.310576244E0
3.199796870E-1,2.184099913E0,-9.339999557E-1,-1.137199998E0,2.633604409E0
3.299906250E-1,1.230899930E0,-1.024799943E0,-5.873999596E-1,1.705980150E0
3.400015620E-1,-2.654999793E-1,-1.225399971E0,-5.105999708E-1,1.353812268E0
3.499812500E-1,-1.917199969E0,-1.114199996E0,-1.684999943E0,2.785017443E0
3.599921870E-1,-2.428499937E0,-1.006999969E0,-2.506000042E0,3.632037595E0
3.699718750E-1,-1.791499972E0,-1.092100024E0,-3.138999939E0,3.775642360E0
3.799828120E-1,6.999999750E-4,-1.625299931E0,-2.792699814E0,3.231218440E0
3.899937500E-1,1.107399940E0,-1.492200017E0,-1.186900020E0,2.204932465E0
3.999750000E-1,1.024500012E0,-8.483999968E-1,5.921999812E-1,1.456050702E0
4.099843750E-1,1.578999907E-1,-7.655000091E-1,2.119199991E0,2.258745509E0
4.199968750E-1,-8.858999610E-1,-2.331999987E-1,2.752300024E0,2.900751007E0
4.299765620E-1,-1.209399939E0,7.580000162E-2,1.281799912E0,1.763917477E0
4.399875000E-1,-6.164000034E-1,-1.051499963E0,-8.649999648E-2,1.221917913E0
4.499984370E-1,1.109999977E-2,-2.200599909E0,-3.872999847E-1,2.234449473E0
4.599781250E-1,1.193000004E-1,-2.682999849E0,-2.318999916E-1,2.695644318E0
4.699890620E-1,-3.930999935E-1,-2.613699913E0,5.417999625E-1,2.698055233E0
4.800000000E-1,-1.334699988E0,-2.571399927E0,7.130999565E-1,2.983627522E0
4.899812500E-1,-2.188999891E0,-1.697299957E0,5.629999936E-2,2.770508502E0
4.999921870E-1,-2.165799856E0,-1.516499996E0,1.728999913E-1,2.649595377E0
5.100031250E-1,-2.083400011E0,-1.991999984E0,1.608199954E0,3.300746375E0
5.199828120E-1,-1.561199903E0,-1.755299926E0,3.620599985E0,4.315920206E0
5.299937500E-1,-1.293900013E0,-1.605099916E0,3.993299961E0,4.494103644E0
5.399734370E-1,-1.269299984E0,-2.005899906E0,2.994199991E0,3.820993388E0
5.499843750E-1,-1.606599927E0,-2.461899996E0,2.079699993E0,3.601009161E0
5.599953120E-1,-2.024100065E0,-2.426300049E0,9.294999838E-1,3.293612488E0
5.699750000E-1,-2.829499960E0,-1.888999939E0,-2.843999863E-1,3.413982154E0
5.799859370E-1,-3.256299973E0,-1.750499964E0,-1.603899956E0,4.029917456E0
5.899984370E-1,-2.355700016E0,-1.778899908E0,-1.112900019E0,3.154735155E0
5.999765620E-1,-1.462899923E0,-1.958699942E0,2.099999934E-1,2.453707734E0
6.099890620E-1,-1.159999967E0,-2.495599985E0,1.477800012E0,3.123701664E0
6.200000000E-1,9.059999883E-2,-3.001999855E0,2.586799860E0,3.963804360E0
6.299796870E-1,8.208999634E-1,-3.159299850E0,3.383699894E0,4.701539883E0
6.399906250E-1,5.679000020E-1,-2.854799986E0,3.114599943E0,4.262994977E0
6.500015620E-1,-2.183399916E0,-1.913699985E0,1.880100012E0,3.458938981E0
6.599812500E-1,-6.766200066E0,-1.362999976E-1,9.758999944E-1,6.837574264E0
6.699921870E-1,-8.963799477E0,-1.109999940E-1,6.621999741E-1,8.988911550E0
6.799718750E-1,-8.259099960E0,-1.164899945E0,-7.027999759E-1,8.370403326E0
6.899828120E-1,-6.441999912E0,-2.132900000E0,-2.793299913E0,7.338334258E0
6.999953120E-1,-4.222099781E0,-2.433699846E0,-2.878299952E0,5.659826156E0
