"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,4.679999873E-2,-6.676999927E-1,1.579999924E-2,6.695245776E-1
1.001093700E-2,5.200999975E-1,-8.333999515E-1,5.076000094E-1,1.105765462E0
2.002187500E-2,1.299700022E0,-1.318400025E0,9.420999885E-1,2.077246052E0
3.000312500E-2,2.033099890E0,-2.097899914E0,9.017999768E-1,3.057437229E0
4.001406200E-2,2.817999840E0,-2.475600004E0,1.518499970E0,4.046672786E0
5.002500000E-2,3.193799973E0,-3.005899906E0,2.367799997E0,4.984201976E0
6.000468700E-2,3.074399948E0,-3.268399954E0,2.166399956E0,4.982736404E0
7.001562500E-2,3.376099825E0,-3.252699852E0,2.168299913E0,5.165232896E0
8.002656200E-2,2.875599861E0,-2.461400032E0,1.776499987E0,4.181329559E0
9.000625000E-2,2.152699947E0,-1.660200000E0,1.667699933E0,3.189295247E0
1.000171870E-1,1.522499919E0,-1.041199923E0,2.253000021E0,2.911719831E0
1.100281250E-1,1.254799962E0,-8.294000030E-1,3.039399862E0,3.391220847E0
1.200078120E-1,1.701399922E0,-1.168399930E0,2.845199823E0,3.514979677E0
1.300203120E-1,1.776799917E0,-1.485799909E0,2.476300001E0,3.390675598E0
1.400000000E-1,1.466799974E0,-1.402300000E0,2.073600054E0,2.901338422E0
1.500109370E-1,1.048599958E0,-1.546299934E0,1.811699986E0,2.602472325E0
1.600218750E-1,6.861000061E-1,-1.227699995E0,1.365499973E0,1.960247605E0
1.700015620E-1,6.972000003E-1,-9.237999916E-1,1.345499992E0,1.774785760E0
1.800125000E-1,1.071499944E0,-6.833999753E-1,1.058399916E0,1.653891785E0
1.900234370E-1,1.375800014E0,-7.132999897E-1,8.493999839E-1,1.767230286E0
2.000031250E-1,1.084499955E0,-8.360999823E-1,6.908999681E-1,1.533801193E0
2.100140620E-1,9.118999839E-1,-1.192499995E0,3.768999875E-1,1.547795665E0
2.200250000E-1,9.289000034E-1,-1.506500006E0,1.944999993E-1,1.780513334E0
2.300046870E-1,1.113999963E0,-1.525499940E0,1.140299916E0,2.206451876E0
2.400171870E-1,1.179700017E0,-1.024699926E0,2.159100056E0,2.665223278E0
2.500281250E-1,1.444000006E0,-1.017499924E0,1.738299966E0,2.478331875E0
2.600078120E-1,1.817899942E0,-1.051699996E0,1.493099928E0,2.576854764E0
2.700187500E-1,1.937999964E0,-1.348999977E0,1.800499916E0,2.969418250E0
2.799984370E-1,1.823499918E0,-1.497200012E0,1.710899949E0,2.914436217E0
2.900093750E-1,9.081999660E-1,-1.856399894E0,1.564799905E0,2.592228093E0
3.000203120E-1,1.990000010E-1,-1.834100008E0,1.530699968E0,2.397199665E0
3.100000000E-1,3.035999835E-1,-1.728299975E0,4.444999993E-1,1.810186179E0
3.200109370E-1,1.296599984E0,-1.745099902E0,4.365999997E-1,2.217468094E0
3.300234370E-1,2.073499918E0,-1.624300003E0,9.144999981E-1,2.788200613E0
3.400031250E-1,2.000200033E0,-1.306299925E0,1.331499934E0,2.734979294E0
3.500125000E-1,1.868299961E0,-7.838999629E-1,2.426399946E0,3.161085351E0
3.600250000E-1,2.531800032E0,-1.164600015E0,3.878000021E0,4.775477856E0
3.700046870E-1,1.576699972E0,-1.441799998E0,3.406099796E0,4.020732005E0
3.800156250E-1,1.108899951E0,-9.211999774E-1,1.938599944E0,2.415872150E0
3.900265620E-1,1.503700018E0,-8.252999783E-1,8.682999611E-1,1.922544829E0
4.000062500E-1,1.706799984E0,-6.940999627E-1,2.809999883E-1,1.863840642E0
4.100171870E-1,1.525900006E0,-5.159999728E-1,-2.006700039E0,2.573222075E0
4.200281250E-1,1.896499991E0,-6.065999866E-1,-3.386899948E0,3.928837871E0
4.300078120E-1,2.145900011E0,-9.860999584E-1,-3.379099846E0,4.122571498E0
4.400203120E-1,2.132799864E0,-1.234399915E0,-2.831300020E0,3.753510119E0
4.500000000E-1,2.227099895E0,-1.332700014E0,-2.255199909E0,3.438312072E0
4.600109370E-1,2.379400015E0,-1.430099964E0,-2.084300041E0,3.471460356E0
4.700234370E-1,3.030299902E0,-1.368399978E0,-2.382699966E0,4.090537266E0
4.800015620E-1,3.002499819E0,-1.690499902E0,-2.956699848E0,4.540360016E0
4.900125000E-1,1.263700008E0,-2.154299974E0,-1.982299924E0,3.188645336E0
5.000234370E-1,1.651999950E0,-2.143499851E0,3.394999802E-1,2.727444900E0
5.100031250E-1,1.283299923E0,-3.003599882E0,1.417099953E0,3.560427393E0
5.200140620E-1,2.190999985E-1,-3.621199846E0,1.272699952E0,3.844588184E0
5.300265620E-1,2.299999893E-1,-3.253599882E0,5.918999910E-1,3.314989862E0
5.400046870E-1,9.835000038E-1,-2.234200001E0,-4.510999918E-1,2.482420815E0
5.500171870E-1,1.726199985E0,-1.579100013E0,-1.425400019E0,2.739541650E0
5.600281250E-1,2.037600040E0,-1.261099935E0,-1.764099956E0,2.975606766E0
5.700078120E-1,2.192699909E0,-1.052099943E0,-1.416099906E0,2.814282524E0
5.800187500E-1,2.140899897E0,-7.739999890E-1,-7.823999524E-1,2.407213750E0
5.899984370E-1,2.571399927E0,-8.485999703E-1,-1.422999948E-1,2.711543616E0
6.000093750E-1,2.996500015E0,-9.677000046E-1,3.774999976E-1,3.171428998E0
6.100203120E-1,3.052399874E0,-1.008700013E0,5.036000013E-1,3.253956617E0
6.200000000E-1,2.153899908E0,-8.533999920E-1,3.662000000E-1,2.345565774E0
6.300109370E-1,1.320500016E0,-6.978999972E-1,2.136999965E-1,1.508791698E0
6.400234370E-1,8.679999709E-1,-3.614999950E-1,2.057999969E-1,9.625278357E-1
6.500031250E-1,7.041999698E-1,-2.452999949E-1,4.132999778E-1,8.525764227E-1
6.600140620E-1,4.188999832E-1,-1.803999990E-1,8.087999821E-1,9.285358187E-1
6.700250000E-1,3.673999906E-1,-2.342999876E-1,1.370700002E0,1.438296816E0
6.800046870E-1,4.205999970E-1,-2.603999972E-1,1.832099915E0,1.897709834E0
6.900156250E-1,4.323999882E-1,-4.001999795E-1,2.009299994E0,2.093899768E0
7.000265620E-1,3.364999890E-1,-4.799000025E-1,2.105799913E0,2.185847554E0
7.100062500E-1,5.989999697E-2,-7.145999670E-1,2.316200018E0,2.424669801E0
7.200171870E-1,-5.738999844E-1,-7.584999800E-1,2.313699961E0,2.501577686E0
7.300281250E-1,-1.079800010E0,-7.940999866E-1,2.408200026E0,2.756082403E0
7.400078120E-1,-1.107599974E0,-7.396999598E-1,2.379899979E0,2.727243598E0
7.500203120E-1,-9.055999517E-1,-7.585999966E-1,2.393499851E0,2.669162184E0
7.600000000E-1,-8.610000014E-1,-1.328199983E0,1.120899916E0,1.939549643E0
7.700109370E-1,-2.028599977E0,-3.690500021E0,-4.362199783E0,6.063315531E0
7.800218750E-1,3.771999776E-1,-2.557299852E0,-3.546199799E0,4.388347681E0
7.900015620E-1,2.684999943E0,-2.369499922E0,8.399999700E-3,3.581036879E0
8.000125000E-1,3.807099819E0,-2.296200037E0,2.590299845E0,5.145502592E0
8.100234370E-1,2.258999944E-1,-1.471199989E0,3.404299974E0,3.715470163E0
8.200031250E-1,-1.202700019E0,-1.663499951E0,4.504999816E-1,2.101587414E0
8.300156250E-1,1.030000001E-1,-2.464999914E0,1.714199901E0,3.004216183E0
8.400265620E-1,2.356799841E0,-2.193399906E0,9.405999780E-1,3.354137290E0
8.500062500E-1,3.861999989E0,-1.117499948E0,-9.243999720E-1,4.125332151E0
8.600171870E-1,1.720999926E-1,3.094999790E-1,1.594200015E0,1.633059194E0
8.700281250E-1,-1.452999949E0,1.682000011E-1,2.792199850E0,3.152123109E0
8.800078120E-1,5.163999796E-1,-4.043000042E-1,3.175899982E0,3.242910441E0
8.900187500E-1,6.567999721E-1,-1.027699947E0,1.726099968E0,2.113521820E0
8.999984370E-1,2.449999899E-1,-9.163999557E-1,7.950999737E-1,1.237739004E0
9.100093750E-1,-3.089999855E-1,-1.743000001E-1,5.728999972E-1,6.738515325E-1
