,freq,PSD,FHAT,weighted
0,10.038610038610038,(17.333321098825365+0j),(122.0233029055102+55.38622758785061j),(174.0024511851195+0j)
1,10.231660231660232,(50.53871452074308+0j),(-182.98948505471049-137.37887975559312j),(517.0949555211165+0j)
2,10.424710424710424,(92.2050243009674+0j),(6.641705348904116+308.9988558649701j),(961.2106780409728+0j)
3,10.617760617760618,(83.60039649907769+0j),(214.8640210085677+201.10560223194744j),(887.6489975770797+0j)
4,10.81081081081081,(84.25783537491805+0j),(-108.95978219571603-274.6249866859846j),(910.8955175666815+0j)
5,11.003861003861005,(51.3454958952297+0j),(215.3618558146797-82.54213958648687j),(564.9987000054234+0j)
6,11.196911196911197,(7.3133611740399616+0j),(-86.15835744718427+12.38465253079903j),(81.88705561666366+0j)
7,11.38996138996139,(25.519989469820157+0j),(-152.23474469932484-57.12522732615663j),(290.67169473347286+0j)
8,11.583011583011583,(62.94364714435495+0j),(-200.06561817323032+158.6926805700721j),(729.0769939500573+0j)
9,11.776061776061777,(15.534372946558529+0j),(74.43392278954963+102.72877644941558j),(182.93373547105605+0j)
10,11.96911196911197,(112.04006818930911+0j),(222.2057641190038-258.2597704568288j),(1341.020121184781+0j)
11,12.162162162162163,(2.536273560779012+0j),(-30.60980203071685-41.11714275831164j),(30.846570333798798+0j)
12,12.355212355212355,(53.95881017747563+0j),(-213.3540464815274+101.88904844890344j),(666.6725581773051+0j)
13,12.548262548262548,(13.444910031787284+0j),(37.9960720990847-111.73730486266788j),(168.7102610166358+0j)
14,12.741312741312742,(15.206123978281793+0j),(-111.27025965081637+58.07300369999681j),(193.745981190463+0j)
15,12.934362934362934,(18.55751212165656+0j),(129.9707352879941-48.30311094261281j),(240.02959694034547+0j)
16,13.127413127413128,(58.457253464139214+0j),(67.35878282032436+236.69497030104506j),(767.3925165176577+0j)
17,13.32046332046332,(35.44732804148978+0j),(27.598278046199084-189.63587977982462j),(472.1748329850956+0j)
18,13.513513513513514,(17.279607000896586+0j),(-132.69865161148132+17.109667250521483j),(233.50820271481874+0j)
